S.No.,Br,Course Name/Group Name,Credits,Instructor,Time,Venue,Time,Venue,Time,Venue
71,BSBE,BIOMATERIALS(BSE613A),3-0-0-2(11),DHIRENDRA S KATTI(I),T (T201) W (T201) Th (T201)  08:00-09:00,T201,,,,
72,BSBE,BIOCHEMISTRY STRUCTURAL BIOLOGY(BSE631),3-0-0-0(9),RAMASUBBU   SANKARARAMAKRISHNAN(I),WF 12:00-13:15,,,,,
73,BSBE,BIOCHEMISTRY STRUCTURAL BIOLOGY(BSE631A),3-0-0-0(9),RAMASUBBU   SANKARARAMAKRISHNAN(I),W (BSBE SR) F (BSBE SR)  12:00-13:15,BSBE SR,,,,
74,BSBE,MICROBIOLOGY AND IMMUNOLOGY(BSE642),3-0-0-0(9),SARAVANAN MATHESHWARAN(I),WF 17:00-18:30,,,,,
75,BSBE,MICROBIOLOGY AND IMMUNOLOGY(BSE642A),3-0-0-0(9),SARAVANAN MATHESHWARAN(I),W (T212) F (T212)  17:10-18:15,T212,,,,
76,BSBE,CELLULAR MOLECULAR BIOLOGY(BSE651),3-0-0-0(9),"JAYANDHARAN GIRIDHARA RAO(I), Robert Sonowal(O)",MTh 10:30-12:00,,,,,
77,BSBE,CELLULAR MOLECULAR BIOLOGY(BSE651A),3-0-0-0(9),"JAYANDHARAN GIRIDHARA RAO(I), Robert Sonowal(O)",M (BSBE SR) Th (BSBE SR)  10:35-11:50,BSBE SR,,,,
78,BSBE,PHYSIOLOGY(BSE655),3-0-0-0(9),"JONAKI  SEN (I), BUSHRA  ATEEQ (O)",MTh 14:00-15:15,,,,,
79,BSBE,PHYSIOLOGY(BSE655A),3-0-0-0(9),"JONAKI  SEN (I), BUSHRA  ATEEQ (O)",M (BSBE SR) Th (BSBE SR)  14:00-15:15,BSBE SR,,,,
80,BSBE,NEUROBIOLOGY(BSE656),3-0-0-0(9),NITIN GUPTA(I),WF 10:30-12:00,,,,,
81,BSBE,NEUROBIOLOGY(BSE656A),3-0-0-0(9),NITIN GUPTA(I),W (L06) F (L06)  10:30-12:00,L06,,,,
82,BSBE,STATISTICS FOR MODERN BIOLOGY(BSE658),3-0-0-0(9),Arjun  Ramakrishnan(I),"T 10:00-11:00 ,WF 15:00-16:00",,,,,
83,BSBE,STATISTICS FOR MODERN BIOLOGY(BSE658A),3-0-0-0(9),Arjun  Ramakrishnan(I),"T (T111)  10:00-11:00 ,W (T111) F (T111)  15:00-16:00",T111,,,,
84,BSBE,BIOLOGICAL MEMBRANES(BSE661),3-0-0-0(9),Appu Singh(I),WF 09:00-10:15,,,,,
85,BSBE,BIOLOGICAL MEMBRANES(BSE661A),3-0-0-0(9),Appu Singh(I),W (BSBE SR) F (BSBE SR)  09:00-10:15,BSBE SR,,,,
86,BSBE,M.TECH THESIS(BSE699),0-0-0-0(0),"DPGCBSBE (I), DUGCBSBE (O)",,,,,,
87,BSBE,SEMINAR(BSE701),0-0-0-0(0),DPGCBSBE (I),,,,,,
88,BSBE,SEMINAR(BSE701A),0-0-0-0(0),DPGCBSBE (I),,,,,,
89,BSBE,SEMINAR(BSE702),0-0-0-0(0),DPGCBSBE (I),,,,,,
90,BSBE,SEMINAR(BSE702A),0-0-0-0(0),DPGCBSBE (I),,,,,,
91,BSBE,PHD THESIS(BSE799),0-0-0-0(0),DPGCBSBE (I),,,,,,
92,BSBE,INTRODUCTION TO BIOLOGY(LIF111),2-0-0-0(6),"PRADIP  SINHA (I), ARUN KUMAR SHUKLA(O)",W (L20) F (L20)  11:00-12:00,L20,,,,
93,CE,ENVIRONMENT AND SUSTAINABILITY(CE212),3-0-0-0(9),"ANUBHA  GOEL (I), Abhishek (O)",M (L17) W (L17) Th (L17)  08:00-09:00,L17,,,,
94,CE,CIVIL ENGINEERING MATERIALS(CE243),2-0-2-0(8),"SYAM NAIR(I), SAMIT  RAY CHAUDHURI (O), Amar Nath Chowdhury(O)",M (L16) W (L16)  12:00-13:00,L16,,,TThF 14:00-17:00,
95,CE,FLUID MECHANICS FOR CIVIL ENGINEERS(CE261),3-0-1-0(10),"Chunendra Sahu(I), RAJESH  SRIVASTAVA (O)",M (L18) W (L18) F (L18)  17:00-18:00,L18,,,TThF 14:00-17:00,
96,CE,ENVIRONMENTAL QUALITY AND POLLUTION(CE311A),3-0-3-0(12),"MUKESH  SHARMA (I), TARUN  GUPTA (O), VINOD  TARE (O)","M (L16) F (L16)  08:00-09:00 ,T (L16)  09:00-10:00",L16,,,MTWThF 14:00-17:00,
97,CE,GEOINFORMATICS(CE331A),3-0-2-0(11),BHARAT  LOHANI     (I),T (L16) W (L16) Th (L16)  08:00-09:00,L16,,,MTTh 14:00-17:00,
98,CE,CIVIL ENGINEERING COMMUNICATION SKILLS(CE341),0-0-0-2(2),ARGHYA DAS(I),T (L16)  10:00-12:00,L16,,,,
99,CE,SOIL MECHANICS(CE351A),2-0-2-0(8),Jagdish  Sahoo(I),W (L02) F (L02)  15:00-16:00,L02,,,MTTh 14:00-17:00,
100,CE,ENGINEERING HYDROLOGY(CE361A),2-0-0-0(6),"Tushar Apurv(I), SAUMYEN  GUHA (O)",T (L02) Th (L02)  17:00-18:00,L02,,,,
101,CE,DESIGN OF STEEL STRUCTURES(CE371A),2-0-0-0(6),SUDIB KUMAR MISHRA(I),W (L01) F (L01)  14:00-15:00,L01,,,,
102,CE,CONSTRUCTION MANAGEMENT(CE441B),3-0-0-0(5),SUPARNO MUKHOPADHYAY(I),WF 15:00-16:15,,,,,
103,CE,APPLICATION OF GEOTECHNICAL ENGINEERING(CE451A),3-0-0-2(11),Bipin  Gupta(I),M (T210) Th (T210)  10:30-12:00,T210,T (T211)  17:10-18:15,T211,,
104,CE,SPECIAL TOPICS IN STRUCTURAL DESIGN(CE471A),3-0-0-2(11),"Chinmoy Kolay(I), Amar Nath Chowdhury(O)","T (T208)  14:00-15:30 ,M (T208)  15:30-17:00",T208,F (T208)  17:00-18:00,T208,,
105,CE,TRANSPORTATION FACILITIES DESIGN(CE481A),3-0-0-2(11),"Venkatesan  Kanagaraj(I), Prabin Ashish(O)",M (L12) Th (L12)  12:00-13:15,L12,,,,
106,CE,MATHEMATICS FOR CIVIL ENGINEERS(CE603),2-0-0-0(5),Hemant Gehlot(I),M 09:00-10:15,,,,,
107,CE,MATHEMATICS FOR CIVIL ENGINEERS(CE603A),2-0-0-0(5),Hemant Gehlot(I),M (L13)  09:00-10:15,L13,,,,
108,CE,NUMERICAL METHODS FOR CIVIL ENGINEERS(CE604),2-0-0-0(5),SAMIT  RAY CHAUDHURI (I),TTh 15:30-17:00,,,,,
109,CE,NUMERICAL METHODS FOR CIVIL ENGINEERS(CE604A),2-0-0-0(5),SAMIT  RAY CHAUDHURI (I),Th (T104)  15:30-17:00,T104,,,,
110,CE,PROBABILITY AND STATISTICS FOR CIVIL ENGINEERS(CE605),2-0-0-0(5),Balaji Devaraju(I),T 15:30-17:00,,,,,
111,CE,PROBABILITY AND STATISTICS FOR CIVIL ENGINEERS(CE605A),2-0-0-0(5),Balaji Devaraju(I),T (T108)  15:30-17:00,T108,,,,
112,CE,OPTIMIZATION METHODS FOR CIVIL ENGINEERS(CE606M),3-0-0-0(5),SUPARNO MUKHOPADHYAY(I),M (T109) Th (T109)  14:00-15:15,T109,,,,
113,CE,ADVANCED HYDROLOGY(CE610),3-0-0-0(9),"Tushar Apurv(I), SAUMYEN  GUHA (O)",WF 09:00-10:15,,,,,
114,CE,ADVANCED HYDROLOGY(CE610A),3-0-0-0(9),"Tushar Apurv(I), SAUMYEN  GUHA (O)",W (T102) F (T102)  09:00-10:15,T102,,,,
115,CE,ENGINEERING HYDRAULICS(CE611),3-0-0-0(9),"Chunendra Sahu(I), RAJESH  SRIVASTAVA (O)",WF 10:30-12:00,,,,,
116,CE,ADVANCED HYDRAULICS(CE611A),3-0-0-0(9),"Chunendra Sahu(I), RAJESH  SRIVASTAVA (O)",W (T110) F (T110)  10:30-12:00,T110,,,,
117,CE,VADOSE ZONE HYDROLOGY(CE618),3-0-0-0(9),RICHA  OJHA (I),MTh 12:00-13:15,,,,,
118,CE,VADOSE ZONE HYDROLOGY(CE618A),3-0-0-0(9),RICHA  OJHA (I),M (T204) Th (T204)  12:00-13:15,T204,,,,
119,CE,STRUCTURAL DYNAMICS(CE620),3-0-0-0(9),VINAY KUMAR  GUPTA (I),MTh 09:00-10:15,,,,,
120,CE,STRUCTURAL DYNAMICS(CE620A),3-0-0-0(9),VINAY KUMAR  GUPTA (I),M (T204) Th (T204)  09:00-10:15,T204,,,,
121,CE,ENGINEERING MECHANICS(CE621),3-0-0-4(9),DURGESH C  RAI (I),MTh 10:30-12:00,,,,,
122,CE,ENGINEERING MECHANICS(CE621A),3-0-0-0(9),DURGESH C  RAI (I),M (L08) Th (L08)  10:30-12:00,L08,,,,
123,CE,ROCK MECHANICS(CE630),3-0-0-0(9),Gaurav  Tiwari(I),MTh 09:00-10:15,,,,,
124,CE,ROCK MECHANICS(CE630A),3-0-0-0(9),Gaurav  Tiwari(I),M (L15) Th (L15)  09:00-10:15,L15,,,,
125,CE,ADVANCED GEOTECHNICAL ENGINEERING(CE631),3-0-0-0(9),RAJESH SATHIYAMOORTHY(I),MTh 12:00-13:15,,,,,
126,CE,ADVANCED GEOTECHNICAL ENGINEERING(CE631A),3-0-0-0(9),RAJESH SATHIYAMOORTHY(I),M (T210) Th (T210)  12:00-13:15,T210,,,,
127,CE,GEOTECHNICAL MEASUREMENTS AND EXPLORATION(CE638),2-0-3-0(6),NIHAR RANJAN  PATRA (I),WF 09:00-10:15,,,,WF 14:00-16:50,
128,CE,GEOTECHNICAL MEASUREMENTS AND EXPLORATION(CE638A),2-0-3-0(9),NIHAR RANJAN  PATRA (I),W (T104) F (T104)  09:00-10:15,T104,,,WF 14:00-16:50,
129,CE,ADVANCEMENTS IN CONCRETE(CE653M),3-0-0-0(5),HARISH K V(I),M (T209) Th (T209)  12:00-13:15,T209,,,,
130,CE,CONCRETE SCIENCE AND ENGINEERING PROPERTIES(CE654M),3-0-0-0(5),HARISH K V(I),M (T205) Th (T205)  12:00-13:15,T205,,,,
131,CE,PHYSICO-CHEMICAL PRINCIPLES AND PROCESS(CE664),3-0-0-0(9),ABHAS SINGH(I),WF 10:30-12:00,,,,,
132,CE,PHYSICO-CHEMICAL PRINCIPLES AND PROCESS(CE664A),3-0-0-0(9),ABHAS SINGH(I),W (T104) F (T104)  10:30-12:00,T104,,,,
133,CE,ECOLOGICAL AND BIOLOGICAL PRINCIPLES AND PROCESS(CE665),3-0-0-0(9),PURNENDU  BOSE (I),WF 17:00-18:30,,,,,
134,CE,ECOLOGICAL AND BIOLOGICAL PRINCIPLES AND PROCESS(CE665A),3-0-0-0(9),PURNENDU  BOSE (I),W (T107) F (T107)  17:00-18:30,T107,,,,
135,CE,AIR POLLUTION AND ITS CONTROL(CE666),3-0-0-0(9),SACHCHIDANAND  TRIPATHI (I),"T 14:00-15:15 ,M 15:30-17:00",,,,,
136,CE,AIR POLLUTION AND ITS CONTROL(CE666A),3-0-0-0(9),SACHCHIDANAND  TRIPATHI (I),"T (L04)  14:00-15:15 ,M (L04)  15:30-17:00",L04,,,,
137,CE,INTRODUCTION TO REMOTE SENSING(CE671),3-0-2-0(11),Salil Goel(I),MTh 12:00-13:15,,,,F 14:00-16:00,
138,CE,INTRODUCTION TO REMOTE SENSING(CE671A),3-0-2-0(11),Salil Goel(I),M (WL237) Th (WL237)  12:00-13:15,WL237,,,F 14:00-16:00,
139,CE,INTRODUCTION TO GEODESY(CE678),3-0-2-0(11),Balaji Devaraju(I),WF 10:30-12:00,,,,W 14:00-16:00,
140,CE,PHYSICAL GEODESY(CE678A),3-0-2-0(11),Balaji Devaraju(I),W (T111) F (T111)  10:30-12:00,T111,,,W 14:00-16:00,
141,CE,TRAFFIC ENGINEERING(CE683),3-0-0-0(9),PARTHA  CHAKROBORTY (I),TTh 15:30-17:00,,,,,
142,CE,TRAFFIC ENGINEERING(CE683A),3-0-0-0(9),PARTHA  CHAKROBORTY (I),T (L08) Th (L08)  15:30-17:00,L08,,,,
143,CE,M. TECH THESIS(CE699),0-0-0-0(0),"DPGCCE (I), DUGCCE (O)",,,,,,
144,CE,UNSATURATED SOIL MECHANICS(CE732),3-0-0-0(9),Partha Narayan Mishra (I),WF 10:30-12:00,,,,,
145,CE,UNSATURATED SOIL MECHANICS(CE732A),3-0-0-0(9),Partha Narayan Mishra (I),W (T101) F (T101)  10:30-12:00,T101,,,,
146,CE,HYDROMETRY(CE738),2-0-3-0(9),SHIVAM TRIPATHI(I),MTh 10:30-12:00,,,,ThF 14:00-17:00,
147,CE,HYDROMETRY(CE738A),2-0-3-0(9),SHIVAM TRIPATHI(I),M (WL237) Th (WL237)  10:30-12:00,WL237,,,ThF 14:00-17:00,
148,CE,ADJUSTMENT COMPUTATIONS FOR GEOINFORMATICS-I(CE770),2-0-1-0(6),ONKAR  DIKSHIT   (I),WF 12:00-13:15,,,,WF 16:00-17:00,
149,CE,ADJUSTMENT COMPUTATIONS FOR GEOINFORMATICS-I(CE770A),2-0-1-0(6),ONKAR  DIKSHIT   (I),W (T105) F (T105)  12:00-13:15,T105,,,WF 16:00-17:00,
150,CE,REFERENCE FRAMES  COORDINATE SYSTEMS AND MAP PROJECTIONS(CE772M),3-0-1-0(6),NAGARAJAN BALASUBRAMANIAN(I),M (WL228) Th (WL228)  10:30-12:00,WL228,,,Th 14:00-16:50,
151,CE,GEODETIC ASTRONOMY AND INTRODUCTION TO SATELLITE GEODESY(CE773M),3-0-1-0(6),NAGARAJAN BALASUBRAMANIAN(I),MTh 10:30-12:00,,,,Th 14:00-14:50,
152,CE,ANALYSIS AND DESIGN OF BITUMINOUS PAVEMENTS(CE786),3-0-0-0(9),ANIMESH  DAS (I),WF 09:00-10:15,,,,,
153,CE,ANALYSIS AND DESIGN OF BITUMINOUS PAVEMENTS(CE786A),3-0-0-0(9),ANIMESH  DAS (I),W (T111) F (T111)  09:00-10:15,T111,,,,
154,CE,COMPUTATIONAL TOOLS FOR TRANSPORTATION ENGINEERING(CE787),3-0-0-0(9),"Pranamesh Chakraborty(I), Aditya Medury(O)","T 14:00-15:15 ,M 15:30-17:00",,,,F 14:00-16:50,
155,CE,COMPUTATIONAL TOOLS FOR TRANSPORTATION ENGINEERING(CE787A),3-0-2-0(11),"Pranamesh Chakraborty(I), Aditya Medury(O)","T (T108)  14:00-15:15 ,M (T108)  15:30-17:00",T108,,,F 14:00-16:50,
156,CE,LITERATURE SEARCH AND REVIEW(CE791A),0-0-0-0(5),DPGCCE (I),,,,,,
157,CE,SCIENTIFIC WRITING SKILLS(CE792A),0-0-0-0(5),DPGCCE (I),,,,,,
158,CE,SCIENTIFIC PRASENTATION SKILLS(CE793A),0-0-0-0(5),DPGCCE (I),,,,,,
159,CE,SCIENTIFIC DATA ANALYSIS  PRESENTATION AND INTERPRETATION(CE794A),0-0-0-0(5),DPGCCE (I),,,,,,
160,CE,PHD SEMINAR I(CE797A),0-0-0-0(0),DPGCCE (I),,,,,,
161,CE,PHD SEMINAR II(CE798A),0-0-0-0(0),DPGCCE (I),,,,,,
162,CE,PHD THESIS(CE799),0-0-0-0(0),DPGCCE (I),,,,,,
163,CE,MS RESEARCH SEMINAR I(CE897A),0-0-0-0(0),DPGCCE (I),,,,,,
164,CE,MS - RESEARCH THESIS(CE899),0-0-0-0(0),DPGCCE (I),,,,,,
165,CE,COMPUTATIONAL METHODS IN ENGINEERING(ESO208),3-1-0-0(11),Gourabananda Pahar(I),MThF 11:00-12:00,,W 11:00-12:00,,,
