S.No.,Br,Course Name/Group Name,Credits,Instructor,Time,Venue,Time,Venue,Time,Venue
323,CSE,SENSING  COMMUNICATIONS AND NETWORKING FOR SMART WIRELESS DEVICES(CS724A),3-0-0-0(9),Amitangshu Pal(I),M (KD102) Th (KD102)  09:00-10:15,KD102,,,,
324,CSE,PSEUDO-RANDOM GENERATORS(CS744),3-0-0-0(9),SATYADEV  NANDAKUMAR   (I),"TF 12:00-13:00 ,W 14:00-15:00",,,,,
325,CSE,PSEUDO-RANDOM GENERATORS(CS744A),3-0-0-0(9),SATYADEV  NANDAKUMAR   (I),"T (KD102) F (KD102)  12:00-13:00 ,W (KD102)  14:00-15:00",KD102,,,,
326,CSE,RANDOMIZED METHODS IN COMPUTATIONAL COMPLEXITY(CS747),3-0-0-0(9),NITIN  SAXENA (I),MTh 14:00-15:15,,,,,
327,CSE,RANDOMIZED METHODS IN COMPUTATIONAL COMPLEXITY(CS747A),3-0-0-0(9),NITIN  SAXENA (I),MTh 14:00-15:15,,,,,
328,CSE,MACHINE LEARNING TECHNIQUES(CS771),3-0-0-0(9),PIYUSH  RAI (I),MTh 18:00-19:15,,,,,
329,CSE,INTRODUCTION TO MACHINE LEARNING(CS771A),3-0-0-0(9),PIYUSH  RAI (I),M (L20) Th (L20)  18:00-19:15,L20,,,,
330,CSE,TOPICS IN LEARNING THEORY(CS777),3-0-0-0(9),Sutanu Gayen(I),WF 15:35-16:50,,,,,
331,CSE,TOPICS IN LEARNING THEORY(CS777A),3-0-0-0(9),Sutanu Gayen(I),WF 15:35-16:50,,,,,
332,CSE,STATISTICAL NATURAL LANGUAGE PROCESSING(CS779),3-0-0-0(9),Ashutosh Modi(I),WF 17:00-18:30,,,,,
333,CSE,STATISTICAL NATURAL LANGUAGE PROCESSING(CS779A),3-0-0-0(9),Ashutosh Modi(I),W (KD102) F (KD102)  17:00-18:30,KD102,,,,
334,CSE,SPECIAL TOPICS IN COMPUTER SCIENCE(CS797),0-0-0-0(9),DPGCCSE (I),,,,,,
335,CSE,SPECIAL TOPICS IN COMPUTER SCIENCE(CS797A),3-0-0-0(9),DPGCCSE (I),,,,,,
336,CSE,POST QUANTUM CRYPTOGRAPHY(CS798C),3-0-0-0(9),Debapriya Roy(I),W (KD102) F (KD102)  09:00-10:15,KD102,,,,
337,CSE,INTRODUCTION TO PROBABILITY FOR COMPUTER SCIENCE(CS798F),3-0-0-0(9),SUMIT  GANGULY   (I),M (KD102) Th (KD102)  12:00-13:15,KD102,,,,
338,CSE,TOPICS IN LARGE DATA ANALYSIS AND VISUALIZATION(CS798I),3-0-0-0(9),"Preeti Malakar(I), Soumya Dutta(O)","T (KD101)  14:00-15:15 ,M (KD101)  15:30-17:00",KD101,,,,
339,CSE,INTRODUCTION TO LINEAR LOGIC AND ITS APPLICATION(CS798J),3-0-0-0(9),ANIL  SETH   (I),W (KD103) F (KD103)  15:30-17:00,KD103,,,,
340,CSE,PHD THESIS(CS799),0-0-0-0(0),DPGCCSE (I),,,,,,
341,CSE,MS - RESEARCH THESIS(CS899),0-0-0-0(0),DPGCCSE (I),,,,,,
342,CSE,FUNDAMENTALS OF COMPUTING - I(ESC111M) /C,3-1-3-0(7),Priyanka Bagade(I),M (L20) Th (L20) F (L20)  12:00-13:00,L20,W (T210) W (T203) W (T111) W (T107) W (T205) W (T110) W (T209) W (T109) W (T112) W (T206) W (T108) W (T204) W (T106) W (T101) W (T207) W (T208)  12:00-13:00,"T208 ,T207 ,T101 ,T106 ,T204 ,T108 ,T206 ,T112 ,T109 ,T209 ,T110 ,T205 ,T107 ,T111 ,T203 ,T210",F 14:00-17:00,
343,CSE,FUNDAMENTALS OF COMPUTING - I(ESC111M) /D,3-1-3-0(7),Priyanka Bagade(I),MThF 12:00-13:00,,W 12:00-13:00,,,
344,CSE,FUNDAMENTALS OF COMPUTING - II(ESC112M) /C,3-1-3-0(7),Priyanka Bagade(I),MThF 12:00-13:00,,W 12:00-13:00,,,
345,CSE,FUNDAMENTALS OF COMPUTING - II(ESC112M) /D,3-1-3-0(7),Priyanka Bagade(I),MThF 12:00-13:00,,W 12:00-13:00,,F 14:00-17:00,
346,CSE,DATA STRUCTURE & ALGORITHM(ESO207),3-0-3-0(12),RAGHUNATH  TEWARI (I),M (L18) W (L18) F (L18)  10:00-11:00,L18,,,MW 14:00-17:00,
347,CSE,DATA STRUCTURE & ALGORITHM(ESO207A),3-0-3-0(12),RAGHUNATH  TEWARI (I),MWF 10:00-11:00,,,,MW 14:00-17:00,
348,DES,DESIGN THEORY(DES601),2-0-3-0(9),KOUMUDI  PATIL (I),MTh 10:30-12:00,,,,,
349,DES,DESIGN THEORY(DES601A),2-0-3-0(9),KOUMUDI  PATIL (I),M (DP309) Th (DP309)  10:30-12:00,DP309,,,,
350,DES,DESIGN PRACTICE I(DES602),2-0-3-0(9),JANAKARAJAN  RAMKUMAR   (I),WF 12:00-13:15,,,,,
351,DES,DESIGN PRACTICE I(DES602A),2-0-3-0(9),JANAKARAJAN  RAMKUMAR   (I),W (DP309) F (DP309)  12:00-13:15,DP309,,,,
352,DES,INTEGRATED PRODUCT DEVELOPMENT-I(DES633),2-0-3-0(9),NACHIKETA  TIWARI (I),WF 09:00-10:15,,,,,
353,DES,INTEGRATED PRODUCT DEVELOPMENT-I(DES633A),2-0-3-0(9),NACHIKETA  TIWARI (I),W (DP309) F (DP309)  09:00-10:15,DP309,,,,
354,DES,METHODS FOR DESIGN RESEARCH(DES635),2-0-3-0(4),KOUMUDI  PATIL (I),MTh 09:00-10:30,,,,,
355,DES,METHODS FOR DESIGN RESEARCH(DES635A),2-0-3-0(9),KOUMUDI  PATIL (I),MTh 09:00-10:30,,,,,
356,DES,HUMAN MACHINE INTERACTION(DES638),3-0-0-0(9),Gowdham P G(I),MTh 14:00-15:30,,,,,
357,DES,HUMAN MACHINE INTERACTION(DES638A),3-0-0-0(9),Gowdham P G(I),MTh 14:00-15:30,,,,,
358,DES,DESIGN FOR HUMAN MACHINE SYSTEMIC RELATIONSHIPS(DES640),3-0-0-0(9),Vivek Kant(I),"T 14:00-15:30 ,M 15:30-17:00",,,,,
359,DES,DESIGN FOR HUMAN MACHINE SYSTEMIC RELATIONSHIPS(DES640A),3-0-0-0(9),Vivek Kant(I),"T 14:00-15:30 ,M 15:30-17:00",,,,,
360,DES,DESIGN FOR INDUSTRY 4.0 AND INDUSTRIAL INTERNET OF THINGS(DES641),3-0-0-0(9),Amar Behera(I),MTh 12:00-13:30,,,,,
361,DES,DESIGN FOR INDUSTRY 4.0 AND INDUSTRIAL INTERNET OF THINGS(DES641A),3-0-0-0(9),Amar Behera(I),MTh 12:00-13:30,,,,,
362,DES,DESIGN PROJECT I(DES681),1-0-6-0(9),SATYAKI  ROY (I),WF 17:00-18:30,,,,,
363,DES,DESIGN PROJECT I(DES681A),1-0-6-0(9),SATYAKI  ROY (I),W (DP309) F (DP309)  17:00-18:30,DP309,,,,
364,DES,M DES THESIS(DES699),0-0-0-0(0),"DPGCDES (I), DUGCDES (O)",,,,,,
365,DES,PH.D THESIS(DES799),0-0-0-0(0),DPGCDES (I),,,,,,
366,ECO,"ECONOMY, SOCIETY & PUBLIC POLICY(ECO111)",3-1-0-0(11),"SOHINI  SAHU   (I), Bikramaditya Datta(T), SOHINI  SAHU   (T)",M (L19) W (L19) F (L19)  08:00-09:00,L19,Th (L14) Th (L15)  08:00-09:00,"L15 ,L14",,
367,ECO,MICROECONOMICS I(ECO211),3-1-0-0(11),Vasudha Jain(I),M (L06) Th (L06) F (L06)  12:00-13:00,L06,W (L06)  12:00-13:00,L06,,
368,ECO,OPTIMIZATION(ECO271),3-1-0-0(11),Srinivas Arigapudi(I),M (L09) W (L09) F (L09)  09:00-10:00,L09,Th (L09)  09:00-10:00,L09,,
369,ECO,MICROECONOMICS II(ECO301A),3-0-0-0(9),SARANI  SAHA (I),"M (L09) F (L09)  08:00-09:00 ,T (L09)  09:00-10:00",L09,,,,
370,ECO,MACROECONOMICS-II(ECO321A),3-0-0-0(9),WASIM AHMAD(I),"T (L05)  12:00-13:00 ,W (L05) F (L05)  16:00-17:00",L05,,,,
371,ECO,ECONOMETRICS I(ECO341A),3-0-3-0(12),MOHAMMAD ARSHAD RAHMAN(I),"W (L08) F (L08)  15:00-16:00 ,Th (L08)  17:00-18:00",L08,,,T 14:00-17:00,
372,ECO,TECHNICAL COMMUNICATION(ECO397A),0-0-2-0(2),DUGCECO (I),T (L08)  10:00-12:00,L08,,,,
373,ECO,UG PROJECT (UGP-I)(ECO398A),0-0-0-0(4),DUGCECO (I),,,,,,
374,ECO,INDUSTRIAL ECONOMICS(ECO411A),3-0-0-0(9),Hargungeet Singh(I),"W (L05) F (L05)  14:00-15:00 ,T (L05)  17:00-18:00",L05,,,,
375,ECO,INTERNATIONAL ECONOMICS AND FINANCE(ECO412A),3-0-0-0(9),SOMESH KUMAR  MATHUR (I),T (L09) W (L09) Th (L09)  08:00-09:00,L09,,,,
376,ECO,UNDER GRADUATE PROJECT-III(ECO498A),0-0-0-0(9),DUGCECO (I),,,,,,
377,ECO,MARKET DESIGN(ECO511A),3-0-0-0(9),Aditya Vikram(I),M (L06) W (L06) F (L06)  17:00-18:00,L06,,,,
378,ECO,MONEY AND BANKING(ECO521A),3-0-0-0(9),Sukumar Vellakkal(I),M (L04) Th (L04)  14:00-15:15,L04,,,,
379,ECO,PROFESSIONAL DEVELOPMENT & COMMUNICATION SKILLS(ECO600),1-0-0-0(3),DPGCECO (I),T 10:00-11:00,,,,,
380,ECO,APPLIED MACROECONOMICS(ECO612),3-0-0-0(9),WASIM AHMAD(I),WF 12:00-13:15,,,,,
381,ECO,APPLIED MACROECONOMICS(ECO612A),3-0-0-0(9),WASIM AHMAD(I),W (T212) F (T212)  12:00-13:15,T212,,,,
382,ECO,MATHEMATICAL METHODS FOR ECONOMICS(ECO671),3-0-0-0(9),Thirumulanathan Dhayaparan(I),MWF 09:00-10:00,,Th 09:00-10:00,,,
383,ECO,MATHEMATICAL METHODS FOR ECONOMICS(ECO671A),3-0-0-0(9),Thirumulanathan Dhayaparan(I),M (T206) W (T206) F (T206)  09:00-10:00,T206,Th (T206)  09:00-10:00,T206,,
384,ECO,M SC THESIS(ECO699),0-0-0-0(9),"DUGCECO (I), DUGCECO (O)",,,,,,
385,ECO,MICROECONOMICS(ECO701),3-0-0-0(9),Raghvi Garg(I),MTh 10:00-11:30,,,,,
386,ECO,MICROECONOMICS(ECO701A),3-0-0-0(9),Raghvi Garg(I),M (T205) Th (T205)  10:00-11:00,T205,,,,
387,ECO,ECONOMETRICS(ECO704),3-0-0-0(9),Mahamitra Das(I),WF 12:00-13:15,,,,,
388,ECO,ECONOMETRICS(ECO704A),3-0-0-0(9),Mahamitra Das(I),W (T102) F (T102)  12:00-13:15,T102,,,,
389,ECO,ECONOMIC GROWTH AND GEOPOLITICS(ECO715),3-0-0-0(9),VIMAL  KUMAR (I),"T (T206)  14:00-15:15 ,M (T206)  15:30-17:00",T206,,,,
390,ECO,EFFICIENCY AND PRODUCTIVITY ANALYSIS OF THE DECISION-MAKING UNITS: SOME HIGHER END MODELS(ECO716),3-0-0-0(9),SOMESH KUMAR  MATHUR (I),M (T104) Th (T104)  14:00-15:15,T104,,,,
391,ECO,PUBLIC ECONOMICS AND PUBLIC POLICY(ECO731),3-0-0-0(9),Neelanjan Datta(I),MTh 12:00-13:15,,,,,
392,ECO,PUBLIC ECONOMICS AND PUBLIC POLICY(ECO731A),3-0-0-0(9),Neelanjan Datta(I),M (T211) Th (T211)  12:00-13:15,T211,,,,
393,ECO,ENVIRONMENTAL ECONOMICS LEGISLATION AND SOCIAL IMPACT(ECO747),3-0-0-0(9),P MURALI  PRASAD (I),WF 10:30-12:00,,,,,
394,ECO,ENVIRONMENTAL ECONOMICS LEGISLATION AND SOCIAL IMPACT(ECO747A),3-0-0-0(9),P MURALI  PRASAD (I),W (T201) F (T201)  10:30-12:00,T201,,,,
395,ECO,QUANTITATIVE ANALYSIS OF INTERNATIONAL TRADE(ECO752),3-0-0-0(9),Not Offered (I),MTh 14:00-15:15,,,,,
396,ECO,QUANTITATIVE ANALYSIS OF INTERNATIONAL TRADE(ECO752A),3-0-0-0(9),Not Offered (I),M (T101) Th (T101)  14:00-15:15,T101,,,,
397,ECO,APPLIED ECONOMETRICS(ECO761),3-0-0-0(9),DEEP MUKHERJEE(I),"WF 15:00-16:00 ,Th 17:00-18:00",,,,,
398,ECO,APPLIED ECONOMETRICS(ECO761A),3-0-0-0(9),DEEP MUKHERJEE(I),"W (T107) F (T107)  15:00-16:00 ,Th (T107)  17:00-18:00",T107,,,,
399,ECO,PHD THESIS(ECO799),0-0-0-0(0),DPGCECO (I),,,,,,
400,ECO,APPLIED PROBABILITY AND STATISTICS(HSO201),3-1-0-0(11),"JOYDEEP  DUTTA (I), Aditya Vikram(T)",M (L16) Th (L16) F (L16)  11:00-12:00,L16,W (L16) W (L15)  11:00-12:00,"L15 ,L16",,
401,EE,SIGNALS  SYSTEMS AND NETWORKS(EE200),3-1-0-0(11),K S  VENKATESH   (I),M (L17) W (L17) F (L17)  12:00-13:00,L17,Th (T208) Th (L16) Th (L17) Th (T104) Th (L15)  12:00-13:00,"L15 ,T104 ,L17 ,L16 ,T208",,
402,EE,PRINCIPLES OF COMMUNICATION(EE320A),3-1-0-0(11),KASTURI  VASUDEVAN   (I),T (L18) W (L18) Th (L18)  08:00-09:00,L18,F (T102) F (T105) F (T104) F (T101) F (T103)  15:00-16:00,"T103 ,T101 ,T104 ,T105 ,T102",,
403,EE,POWER SYSTEMS(EE330A),3-1-0-0(11),Swathi Battula(I),"M (L07) F (L07)  08:00-09:00 ,T (L07)  09:00-10:00",L07,Th (L12) Th (T212) Th (L11) Th (T206) Th (T211)  11:00-12:00,"T211 ,T206 ,L11 ,T212 ,L12",,
404,EE,DIGITAL ELECTRONICS(EE370A),3-1-0-0(11),Rik Dey(I),M (L17) W (L17) F (L17)  11:00-12:00,L17,T (T111) T (T108) T (T109) T (T110) T (T112)  17:00-18:00,"T112 ,T110 ,T109 ,T108 ,T111",,
405,EE,ELECTRICAL ENGINEERING LAB I(EE380A),0-2-6-0(12),YATINDRA NATH  SINGH (I),,,"T (L01)  12:00-13:00 ,F (L01)  16:00-17:00 ,Th (L01)  17:00-18:00",L01,MTWTh 14:00-17:00,
406,EE,ELECTRICAL ENGINEERING COMMUNICATION SKILLS(EE390A),0-0-2-0(2),ADRISH  BANERJEE   (I),,,,,T 10:00-12:00,
407,EE,ELECTRICAL ENGINEERING UNDER GRADUATE PROJECT I(EE391A),0-0-2-0(4),DUGCEE (I),,,,,,
408,EE,ELECTRICAL ENGINEERING LAB I(EE480A),0-2-6-0(10),YATINDRA NATH  SINGH (I),,,"T (T109)  12:00-13:00 ,F (T109)  16:00-17:00 ,Th (T109)  17:00-18:00",T109,MTWTh 14:00-17:00,
409,EE,UNDER GRADUATE PROJECT -III(EE491A),0-0-0-0(9),DUGCEE (I),,,,,,
410,EE,IMAGE PROCESSING(EE604),3-0-0-0(9),Tushar Sandhan(I),WF 12:00-13:15,,,,,
411,EE,IMAGE PROCESSING(EE604A),3-0-0-0(9),Tushar Sandhan(I),W (L07) F (L07)  12:00-13:15,L07,,,,
412,EE,INTRODUCTION TO SIGNAL ANALYSIS(EE605),3-0-0-0(9),"KETAN  RAJAWAT (I), AJIT K CHATURVEDI (O)",MTh 10:30-12:00,,,,,
413,EE,INTRODUCTION TO SIGNAL ANALYSIS(EE605A),3-0-0-0(9),"KETAN  RAJAWAT (I), AJIT K CHATURVEDI (O)",M (T111) Th (T111)  10:30-12:00,T111,,,,
414,EE,ANALOG/DIGITAL VLSI CIRCUITS(EE610),3-0-0-0(9),Imon Mondal(I),MTh 09:00-10:15,,,,,
415,EE,ANALOG/DIGITAL VLSI CIRCUITS(EE610A),3-0-0-0(9),Imon Mondal(I),M (L08) Th (L08)  09:00-10:15,L08,,,,
416,EE,SOLID STATE DEVICES I(EE614),3-0-0-0(9),ALOKE KUMAR DUTTA (I),WF 10:30-12:00,,,,,
417,EE,SOLID STATE DEVICES I(EE614A),3-0-0-0(9),ALOKE KUMAR DUTTA (I),W (L12) F (L12)  10:30-12:00,L12,,,,
418,EE,SEMICONDUCTOR DEVICE MODELLING(EE616),3-0-0-0(9),YOGESH SINGH  CHAUHAN (I),MTh 10:30-12:00,,,,,
419,EE,SEMICONDUCTOR DEVICE MODELLING(EE616A),3-0-0-0(9),YOGESH SINGH  CHAUHAN (I),M (ACES213) Th (ACES213)  10:30-12:00,ACES213,,,,
420,EE,INDUSTRIAL AUTOMATION AND CONTROL(EE617),3-0-0-0(9),NISHCHAL K  VERMA   (I),MTh 10:30-12:00,,,,,
421,EE,INDUSTRIAL AUTOMATION AND CONTROL(EE617A),3-0-0-0(9),NISHCHAL K  VERMA   (I),M (T204) Th (T204)  10:30-12:00,T204,,,,
422,EE,INTEGRATED CIRCUIT FABRICATION TECHNOLOGY(EE618),3-0-0-0(9),S SUNDAR KUMAR  IYER   (I),MTh 14:00-15:15,,,,,
423,EE,INTEGRATED CIRCUIT FABRICATION TECHNOLOGY(EE618A),3-0-0-0(9),S SUNDAR KUMAR  IYER   (I),M (L15) Th (L15)  14:00-15:15,L15,,,,
424,EE,VLSI SYSTEM DESIGN(EE619),3-0-0-0(9),Chithra (I),WF 15:30-17:00,,,,,
425,EE,VLSI SYSTEM DESIGN(EE619A),3-0-0-0(9),Chithra (I),W (L09) F (L09)  15:30-17:00,L09,,,,
426,EE,REPRESENTATION AND ANALYSIS OF RANDOM SIGNALS(EE621),3-0-0-0(9),ADRISH  BANERJEE   (I),WF 15:30-17:00,,,,,
427,EE,REPRESENTATION AND ANALYSIS OF RANDOM SIGNALS(EE621A),3-0-0-0(9),ADRISH  BANERJEE   (I),W (L04) F (L04)  15:30-17:00,L04,,,,
428,EE,SIMULATON OF MODERN POWER SYSTEMS(EE630),3-0-3-0(5),Gururaj Vishwanath(I),WF 10:30-12:00,,,,,
429,EE,SIMULATON OF MODERN POWER SYSTEMS(EE630A),3-0-3-0(12),Gururaj Vishwanath(I),W (T212) F (T212)  10:30-12:00,T212,,,Th 14:00-16:50,
430,EE,ADVANCED POWER SYSTEM STABILITY(EE631),3-0-0-0(9),SAIKAT  CHAKRABARTI   (I),"T 14:00-15:15 ,M 15:30-17:00",,,,,
431,EE,ADVANCED POWER SYSTEM STABILITY(EE631A),3-0-0-0(9),SAIKAT  CHAKRABARTI   (I),"T (T102)  14:00-15:15 ,M (T102)  15:30-17:00",T102,,,,
432,EE,ECONOMIC OPERATION & CONTROL OF POWER SYSTEMS(EE632),3-0-0-0(9),ABHEEJEET  MOHAPATRA   (I),MTh 12:00-13:15,,,,,
433,EE,ECONOMIC OPERATION & CONTROL OF POWER SYSTEMS(EE632A),3-0-0-0(9),ABHEEJEET  MOHAPATRA   (I),M (ACES213) Th (ACES213)  12:00-13:15,ACES213,,,,
434,EE,ELECTRICAL INSULATION IN POWER APPARATUS AND SYSTEMS(EE634),3-0-0-0(9),NANDINI  GUPTA   (I),WF 12:00-13:15,,,,,
435,EE,ELECTRICAL INSULATION IN POWER APPARATUS AND SYSTEMS(EE634A),3-0-0-0(9),NANDINI  GUPTA   (I),W (ACES213) F (ACES213)  12:00-13:15,ACES213,,,,
436,EE,HVDC TRANSMISSION & FLEXIBLE A C TRANSMISSION SYSTEMS(EE635),3-0-0-0(9),Alok  Verma(I),MTh 14:00-15:15,,,,,
437,EE,HVDC TRANSMISSION & FLEXIBLE A C TRANSMISSION SYSTEMS(EE635A),3-0-0-0(9),Alok  Verma(I),M (T102) Th (T102)  14:00-15:15,T102,,,,
438,EE,ADVANCED ENGINEERING ELECTROMAGNETICS(EE641),3-0-0-0(9),ANIMESH  BISWAS (I),"T 10:00-11:00 ,WF 15:00-16:00 ,M 17:00-18:00",,,,,
439,EE,ADVANCED ENGINEERING ELECTROMAGNETICS(EE641A),3-0-0-0(9),ANIMESH  BISWAS (I),"T (T106)  10:00-11:00 ,W (T106) F (T106)  15:00-16:00 ,M (T106)  17:00-18:00",T106,,,,
440,EE,ANTENNAS ANALYSIS & SYNTHESIS(EE642),3-0-0-0(9),Raghvendra Chaudhary(I),MWF 17:00-18:00,,,,,
441,EE,ANTENNAS ANALYSIS & SYNTHESIS(EE642A),3-0-0-0(9),Raghvendra Chaudhary(I),M (T205) W (T205) F (T205)  17:00-18:00,T205,,,,
442,EE,MONOLITHIC MICROWAVE ICS(EE645),3-0-0-0(9),MD JALEEL  AKHTAR   (I),WF 10:30-12:00,,,,,
443,EE,MONOLITHIC MICROWAVE ICS(EE645A),3-0-0-0(9),MD JALEEL  AKHTAR   (I),W (ACES213) F (ACES213)  10:30-12:00,ACES213,,,,
444,EE,PHOTONIC NETWORKS & SWITCHING(EE646),3-0-0-0(9),YATINDRA NATH  SINGH (I),MTh 14:00-15:15,,,,,
445,EE,PHOTONIC NETWORKS & SWITCHING(EE646A),3-0-0-0(9),YATINDRA NATH  SINGH (I),M (T108) Th (T108)  14:00-15:15,T108,,,,
446,EE,MICROWAVE MEASUREMENTS AND DESIGN(EE647),2-0-3-0(9),A R  HARISH (I),TWTh 08:00-09:00,,,,,
447,EE,MICROWAVE MEASUREMENTS AND DESIGN(EE647A),2-0-3-0(9),A R  HARISH (I),T (ACES213) W (ACES213) Th (ACES213)  08:00-09:00,ACES213,,,T 14:01-16:50,
448,EE,BASICS OF MODERN CONTROL SYSTEMS(EE650),3-0-0-0(9),Twinkle Tripathy(I),WF 10:30-12:00,,,,,
449,EE,BASICS OF MODERN CONTROL SYSTEMS(EE650A),3-0-0-0(9),Twinkle Tripathy(I),W (L03) F (L03)  10:30-12:00,L03,,,,
450,EE,DIGITAL CONTROL(EE653),3-0-0-0(9),RAMPRASAD  POTLURI   (I),MWF 17:00-18:00,,,,,
451,EE,DIGITAL CONTROL(EE653A),3-0-0-0(9),RAMPRASAD  POTLURI   (I),M (T210) W (T210) F (T210)  17:00-18:00,T210,,,,
452,EE,COMPUTATIONAL ASPECTS OF TOMOGRAPHIC IMAGING : MODELS TO INVERSIONS(EE659),3-0-0-0(9),NAREN  NAIK     (I),"T 14:00-15:15 ,M 15:30-17:00",,,,,
453,EE,COMPUTATIONAL ASPECTS OF TOMOGRAPHIC IMAGING : MODELS TO INVERSIONS(EE659A),3-0-0-0(9),NAREN  NAIK     (I),"T (L10)  14:00-15:15 ,M (L10)  15:30-17:00",L10,,,,
454,EE,BASICS OF POWER ELECTRONIC CONVERTERS(EE660),3-0-3-0(5),PARTHASARATHI  SENSARMA   (I),WF 09:00-10:15,,,,,
455,EE,BASICS OF POWER ELECTRONIC CONVERTERS(EE660A),3-0-3-0(12),PARTHASARATHI  SENSARMA   (I),W (L06) F (L06)  09:00-10:15,L06,,,F 14:00-16:50,
456,EE,FUNDAMENTALS OF ELECTRIC DRIVES(EE664),3-0-0-0(9),S P  DAS   (I),TWTh 08:00-09:00,,,,,
457,EE,FUNDAMENTALS OF ELECTRIC DRIVES(EE664A),3-0-0-0(9),S P  DAS   (I),T (L08) W (L08) Th (L08)  08:00-09:00,L08,,,,
458,EE,SPECIAL TOPICS IN POWER ELECTRONICS(EE666),3-0-0-0(9),Piyush Kant(I),MTh 10:30-12:00,,,,,
459,EE,SPECIAL TOPICS IN POWER ELECTRONICS(EE666A),3-0-0-0(9),Piyush Kant(I),M (T207) Th (T207)  10:30-12:00,T207,,,,
460,EE,WIRELESS COMMUNICATIONS(EE670),3-0-0-0(9),ADITYA K  JAGANNATHAM   (I),MTh 12:00-13:15,,,,,
461,EE,WIRELESS COMMUNICATIONS(EE670A),3-0-0-0(9),ADITYA K  JAGANNATHAM   (I),M (L04) Th (L04)  12:00-13:15,L04,,,,
462,EE,DIGITAL COMMUNICATION NETWORKS(EE673),3-0-0-0(9),Subrahmanya  Peruru(I),WF 17:00-18:30,,,,,
463,EE,DIGITAL COMMUNICATION NETWORKS(EE673A),3-0-0-0(9),Subrahmanya  Peruru(I),W (T110) F (T110)  17:00-18:30,T110,,,,
464,EE,MIMO WIRELESS COMMUNICATION(EE677),3-0-0-0(9),ROHIT  BUDHIRAJA   (I),TWTh 08:00-09:00,,,,,
465,EE,MIMO WIRELESS COMMUNICATION(EE677A),3-0-0-0(9),ROHIT  BUDHIRAJA   (I),T (L12) W (L12) Th (L12)  08:00-09:00,L12,,,,
466,EE,SMART GRID TECHNOLOGIES(EE679),3-0-0-0(9),Ankush Sharma(I),MTh 09:00-10:15,,,,,
467,EE,SMART GRID TECHNOLOGIES(EE679A),3-0-0-0(9),Ankush Sharma(I),M (ACES213) Th (ACES213)  09:00-10:15,ACES213,,,,
468,EE,QUANTUM AND WAVE PHENOMENA(EE683),3-0-0-0(9),SHILPI  GUPTA   (I),WF 17:00-18:30,,,,,
469,EE,QUANTUM AND WAVE PHENOMENA(EE683A),3-0-0-0(9),SHILPI  GUPTA   (I),W (ACES213) F (ACES213)  17:00-18:30,ACES213,,,,
470,EE,FIBER-OPTIC COMMUNICATIONS(EE684),3-0-0-0(9),PRADEEP  KUMAR K   (I),WF 09:00-10:15,,,,,
471,EE,FIBER-OPTIC COMMUNICATIONS(EE684A),3-0-0-0(9),PRADEEP  KUMAR K   (I),W (T108) F (T108)  09:00-10:15,T108,,,,
472,EE,SPECIAL TOPICS IN MICROELECTRONICS(EE698D),3-0-0-0(9),BAQUER  MAZHARI   (I),M (T102) W (T102) F (T102)  17:00-18:00,T102,,,,
473,EE,POWER CONVERTERS FOR EV CHARGING(EE698E),3-0-0-0(9),Suvendu Samanta(I),T (T204) Th (T204)  15:30-17:00,T204,,,,
474,EE,MIXED -SIGNAL IC DESIGN(EE698I),3-0-0-0(9),Ashwin Kumar Ramakrishnan Sivakumar(I),W (WL235) F (WL235)  09:00-10:15,WL235,,,,
475,EE,M TECH THESIS(EE699),0-0-0-0(0),"DPGCEE (I), DUGCEE (O)",,,,,,
476,EE,QUANTUM PHYSICS OF SEMICONDUCTORS(EE706),3-0-0-0(9),Amit   Verma(I),MTh 12:00-13:15,,,,,
477,EE,QUANTUM PHYSICS OF SEMICONDUCTORS(EE706A),3-0-0-0(9),Amit   Verma(I),M (T106) Th (T106)  12:00-13:15,T106,,,,
478,EE,NANOPHOTONICS(EE798I),3-0-0-0(9),Rituraj (I),WF 12:00-13:15,,,,,
479,EE,BIOMOLECULAR CONTROL SYSTEMS(EE798N),3-0-0-0(9),Abhilash Patel(I),W (T211) F (T211)  09:00-10:15,T211,,,,
480,EE,ADAPTIVE CONTROL THEORY(EE798O),3-0-0-0(9),SOUMYA RANJAN  SAHOO (I),T (WL237) W (WL237) Th (WL237)  08:00-09:00,WL237,,,,
481,EE,AUDIO REPRESENTATION LEARNING(EE798P),3-0-0-0(9),Vipul  Arora(I),M (L05) Th (L05)  14:00-15:15,L05,,,,
482,EE,PHD THESIS(EE799),0-0-0-0(0),DPGCEE (I),,,,,,
483,EE,MS - RESEARCH THESIS(EE899),0-0-0-0(0),DPGCEE (I),,,,,,
484,EE,INTRODUCTION TO ELECTRONICS(ESC201),3-1-3-0(14),Abhishek Gupta(I),M (L20) W (L20) F (L20)  08:00-09:00,L20,Th (T209) Th (T107) Th (T110) Th (T105) Th (T206) Th (T106) Th (T101) Th (T203) Th (T207) Th (T204) Th (T208) Th (T103) Th (T109) Th (T108) Th (T210) Th (T112) Th (T104) Th (T111) Th (T102) Th (T205)  08:00-09:00,"T205 ,T102 ,T111 ,T104 ,T112 ,T210 ,T108 ,T109 ,T103 ,T208 ,T204 ,T207 ,T203 ,T101 ,T106 ,T206 ,T105 ,T110 ,T107 ,T209",MTWThF 14:00-17:00,
