Course Name/Group Name,Credits,Instructor,Time,Time.1,Time.2,Cleaned_Time_3,day1,day2,day3,start_time123,end_time123,day4,day5,start_time456,end_time456
OPTIMAL SPACE FLIGHT CONTROL(AE777A),3-0-0-0(9),ASHISH  TIWARI (I),M (L02) Th (L02)  12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
PHD THESIS(AE799),0-0-0-0(0),DPGCAE (I),,,,,,,,,,,,,
MS - RESEARCH THESIS(AE899),0-0-0-0(0),DPGCAE (I),,,,,,,,,,,,,
MECHANICS OF SOLIDS(ESO202),3-1-0-1(11),"Pritam  Chakraborty   (I), Gopalakrishna M Kamath   (O)",M (L16) Th (L16) F (L16)  10:00-11:00,W (T208) W (T205) W (T206) W (T207) W (T210) W (T203) W (T204) W (T209)  10:00-11:00,,,M,Th,,10:00 AM,11:00 AM,,,,
ORGAN SYSTEM PHYSIOLOGY AND ANATOMY(BSE211),3-0-0-0(9),Sai Pydi(I),M (DJAB(205H)) W (DJAB(205H)) F (DJAB(205H))  12:00-13:00,,,,M,W,F,12:00 PM,13:00 PM,,,,
BIOCHEMISTRY(BSE221),3-0-0-0(9),Anusmita Sahoo(I),M (BSBE SR) W (BSBE SR) F (BSBE SR)  17:00-18:00,,,,M,W,F,17:00 PM,18:00 PM,,,,
SCIENTIFIC & PROFESSIONAL COMMUNICATION(BSE301A),0-0-2-0(2),"Nitin  Mohan(I), Dibyendu Kumar Das  (O)",T (BSBE SR)  10:00-12:00,,,,T,1,,10:00 AM,12:00 PM,,,,
MOLECULAR CELL BIOLOGY(BSE311A),3-0-0-0(9),AMITABHA  BANDYOPADHYAY     (I),"M (BSBE SR) F (BSBE SR)  08:00-09:00 ,T (BSBE SR)  09:00-10:00",,,,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM
MOLECULAR BIOLOGY LAB(BSE312A),1-0-6-0(9),Suresh Kumar(I),Th (BSBE SR)  17:10-18:00,,WTh 14:00-17:00,,T,h,,17:10 PM,18:00 PM,,,,
BIOMATERIALS(BSE411A),3-0-2-0(11),Santosh Misra(I),T (BSBE SR) W (BSBE SR) Th (BSBE SR)  08:00-09:00,,,,T,W,Th,8:00 AM,9:00 AM,,,,
