,Course Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,day4,day5,start_time_7,end_time_7,day7,start_time_8,end_time_8,day8,day9,day10,day11,start_time_1,start_time_2,start_time_3,end_time_1,end_time_2,end_time_3,start_time_4,start_time_5,end_time_4,end_time_5,end_time_9,end_time_10,end_time_11,start_time_9,start_time_10,start_time_11,Course Code
73,MICROBIOLOGY AND IMMUNOLOGY(BSE642),9,SARAVANAN MATHESHWARAN(I),WF 17:00-18:30,,,W,F,,,,,,,,,,,,,17:00 PM,17:00 PM,17:00 PM,18:30 PM,18:30 PM,18:30 PM,,,,,,,,,,,BSE642
74,MICROBIOLOGY AND IMMUNOLOGY(BSE642A),9,SARAVANAN MATHESHWARAN(I),W (T212) F (T212)  17:10-18:15,,,W,F,,,,,,,,,,,,,17:10 PM,17:10 PM,17:10 PM,18:15 PM,18:15 PM,18:15 PM,,,,,,,,,,,BSE642A
75,CELLULAR MOLECULAR BIOLOGY(BSE651),9,"JAYANDHARAN GIRIDHARA RAO(I), Robert Sonowal(O)",MTh 10:30-12:00,,,M,Th,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,BSE651
76,CELLULAR MOLECULAR BIOLOGY(BSE651A),9,"JAYANDHARAN GIRIDHARA RAO(I), Robert Sonowal(O)",M (BSBE SR) Th (BSBE SR)  10:35-11:50,,,M,Th,,,,,,,,,,,,,10:35 AM,10:35 AM,10:35 AM,11:50 AM,11:50 AM,11:50 AM,,,,,,,,,,,BSE651A
77,PHYSIOLOGY(BSE655),9,"JONAKI  SEN (I), BUSHRA  ATEEQ (O)",MTh 14:00-15:15,,,M,Th,,,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,,,,,,,,,,,BSE655
78,PHYSIOLOGY(BSE655A),9,"JONAKI  SEN (I), BUSHRA  ATEEQ (O)",M (BSBE SR) Th (BSBE SR)  14:00-15:15,,,M,Th,,,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,,,,,,,,,,,BSE655A
79,NEUROBIOLOGY(BSE656),9,NITIN GUPTA(I),WF 10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,BSE656
80,NEUROBIOLOGY(BSE656A),9,NITIN GUPTA(I),W (L06) F (L06)  10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,BSE656A
81,STATISTICS FOR MODERN BIOLOGY(BSE658),9,Arjun  Ramakrishnan(I),"T 10:00-11:00 ,WF 15:00-16:00",,,T,1,,W,F,,,,,,,,,,10:00 AM,10:00 AM,10:00 AM,11:00 AM,11:00 AM,11:00 AM,15:00 PM,15:00 PM,16:00 PM,16:00 PM,,,,,,,BSE658
82,STATISTICS FOR MODERN BIOLOGY(BSE658A),9,Arjun  Ramakrishnan(I),"T (T111)  10:00-11:00 ,W (T111) F (T111)  15:00-16:00",,,T,1,,W,F,,,,,,,,,,10:00 AM,10:00 AM,10:00 AM,11:00 AM,11:00 AM,11:00 AM,15:00 PM,15:00 PM,16:00 PM,16:00 PM,,,,,,,BSE658A
