Course Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,day4,day5,start_time_7,end_time_7,day7,start_time_8,end_time_8,day8,day9,day10,day11,start_time_1,start_time_2,start_time_3,end_time_1,end_time_2,end_time_3,start_time_4,start_time_5,end_time_4,end_time_5,end_time_9,end_time_10,end_time_11,start_time_9,start_time_10,start_time_11,Course Code
INTRODUCTION TO COMPUTING(IME603),3-0-0-0(9),VEENA BANSAL(I),"T 14:00-15:15 ,M 15:30-17:00",,,T,1,,M,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,,,,,,,IME603
INTRODUCTION TO COMPUTING(IME603A),3-0-0-0(9),VEENA BANSAL(I),"T (C3)  14:00-15:15 ,M (C3)  15:30-17:00",,,T,1,,M,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,,,,,,,IME603A
OPERATIONS RESEARCH FOR MANAGEMENT(IME605),3-0-0-0(9),SRI VANAMALLA V(I),WF 12:00-13:15,,,W,F,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,IME605
OPERATIONS RESEARCH FOR MANAGEMENT(IME605A),3-0-0-0(9),SRI VANAMALLA V(I),W (C3) F (C3)  12:00-13:15,,,W,F,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,IME605A
COMPUTER AIDED DECISION SYSTEMS(IME624),3-0-0-0(9),DEEPU  PHILIP (I),"T 10:00-11:00 ,M 17:00-18:00",,,T,1,,M,,,,,,,,,,,10:00 AM,10:00 AM,10:00 AM,11:00 AM,11:00 AM,11:00 AM,17:00 PM,17:00 PM,18:00 PM,18:00 PM,,,,,,,IME624
COMPUTER AIDED DECISION SYSTEMS(IME624A),3-0-0-0(9),DEEPU  PHILIP (I),"T (C1)  10:00-11:00 ,M (C1)  17:00-18:00",,,T,1,,M,,,,,,,,,,,10:00 AM,10:00 AM,10:00 AM,11:00 AM,11:00 AM,11:00 AM,17:00 PM,17:00 PM,18:00 PM,18:00 PM,,,,,,,IME624A
INTRODUCTION TO GAME THEORY(IME636),3-0-0-0(9),Vinay Ramani(I),MTh 12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,IME636
INTRODUCTION TO GAME THEORY(IME636A),3-0-0-0(9),Vinay Ramani(I),MTh 12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,IME636A
DATA MINING AND KNOWLEDGE DISCOVERY(IME672),3-0-0-0(9),FAIZ HAMID(I),WF 10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,IME672
DATA MINING AND KNOWLEDGE DISCOVERY(IME672A),3-0-0-0(9),FAIZ HAMID(I),W (C3) F (C3)  10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,IME672A
