Course Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,day4,day5,start_time_7,end_time_7,day7,start_time_8,end_time_8,day8,day9,day10,day11,start_time_1,start_time_2,start_time_3,end_time_1,end_time_2,end_time_3,start_time_4,start_time_5,end_time_4,end_time_5,end_time_9,end_time_10,end_time_11,start_time_9,start_time_10,start_time_11,Course Code
PRINCIPLES OF ORGANIC CHEMISTRY(CHM609),3-0-0-0(9),RAMESH  RAMAPANICKER (I),WF 10:30-11:50,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,11:50 AM,11:50 AM,11:50 AM,,,,,,,,,,,CHM609
PRINCIPLES OF ORGANIC CHEMISTRY(CHM609A),3-0-0-0(9),RAMESH  RAMAPANICKER (I),WF 10:30-11:50,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,11:50 AM,11:50 AM,11:50 AM,,,,,,,,,,,CHM609A
PHYSICAL ORGANIC CHEMISTRY(CHM611),3-0-0-0(9),DATTATRAYA H DETHE(I),MTh 10:30-12:00,,,M,Th,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CHM611
PHYSICAL ORGANIC CHEMISTRY(CHM611A),3-0-0-0(9),DATTATRAYA H DETHE(I),M (L14) Th (L14)  10:30-12:00,,,M,Th,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CHM611A
CHEMISTRY OF ORGANOMETALLIC COMPOUNDS(CHM616),3-0-0-0(9),M L N  RAO (I),TWTh 08:00-09:00,,,T,W,T,,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,CHM616
CHEMISTRY OF ORGANOMETALLIC COMPOUNDS(CHM616A),3-0-0-0(9),M L N  RAO (I),T (FB426) W (FB426) Th (FB426)  08:00-09:00,,,T,W,T,,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,CHM616A
CHEMICAL BINDING(CHM621),3-0-0-0(9),DEBABRATA  GOSWAMI (I),WF 10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CHM621
CHEMICAL BINDING(CHM621A),3-0-0-0(9),DEBABRATA  GOSWAMI (I),W (L13) F (L13)  10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CHM621A
PRINCIPLES OF PHYSICAL CHEMISTRY(CHM629),3-0-0-0(9),DASARI L V K PRASAD(I),MTh 09:00-10:15,,,M,Th,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,CHM629
PRINCIPLES OF PHYSICAL CHEMISTRY(CHM629A),3-0-0-0(9),DASARI L V K PRASAD(I),M (FB434) Th (FB434)  09:00-10:15,,,M,Th,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,CHM629A
APPLICATIONS OF MODERN INSTRUMENTAL METHODS(CHM631),3-0-0-0(9),"Dharmaraja Allimuthu(I), Apparao Draksharapu(O)",WF 09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,CHM631
APPLICATIONS OF MODERN INSTRUMENTAL METHODS(CHM631A),3-0-0-0(9),"Dharmaraja Allimuthu(I), Apparao Draksharapu(O)",W (L05) F (L05)  09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,CHM631A
BIO-INORGANIC CHEMISTRY(CHM646),3-0-0-0(9),SANKAR PRASAD  RATH (I),MF 08:00-09:00,,,M,F,,,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,CHM646
BIO-INORGANIC CHEMISTRY(CHM646A),3-0-0-0(9),SANKAR PRASAD  RATH (I),M (L13) F (L13)  08:00-09:00,,,M,F,,,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,CHM646A
THE CHEMISTRY OF METAL-CARBON BOND: STRUCTURE REACTIVITY & APPLICATIONS(CHM648),3-0-0-0(9),BASKER SUNDARARAJU(I),MTh 12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,CHM648
THE CHEMISTRY OF METAL-CARBON BOND: STRUCTURE REACTIVITY & APPLICATIONS(CHM648A),3-0-0-0(9),BASKER SUNDARARAJU(I),M (T108) Th (T108)  12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,CHM648A
PRINCIPLES OF INORGANIC CHEMISTRY(CHM649),3-0-0-0(9),Ritika  Gautam(I),WF 10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CHM649
PRINCIPLES OF INORGANIC CHEMISTRY(CHM649A),3-0-0-0(9),Ritika  Gautam(I),W (FB434) F (FB434)  10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CHM649A
ORGANIC STRUCTURE DETERMINATION BY SPECTROSCOPIC TECHNIQUES(CHM656),3-0-0-0(9),R  GURUNATH (I),WF 17:00-18:30,,,W,F,,,,,,,,,,,,,17:00 PM,17:00 PM,17:00 PM,18:30 PM,18:30 PM,18:30 PM,,,,,,,,,,,CHM656
ORGANIC STRUCTURE DETERMINATION BY SPECTROSCOPIC TECHNIQUES(CHM656A),3-0-0-0(9),R  GURUNATH (I),W (T207) F (T207)  17:00-18:30,,,W,F,,,,,,,,,,,,,17:00 PM,17:00 PM,17:00 PM,18:30 PM,18:30 PM,18:30 PM,,,,,,,,,,,CHM656A
FRONTIERS IN INORGANIC CHEMISTRY(CHM691),3-0-0-0(9),SABUJ KUMAR KUNDU(I),WF 17:00-18:30,,,W,F,,,,,,,,,,,,,17:00 PM,17:00 PM,17:00 PM,18:30 PM,18:30 PM,18:30 PM,,,,,,,,,,,CHM691
FRONTIERS IN INORGANIC CHEMISTRY(CHM691A),3-0-0-0(9),SABUJ KUMAR KUNDU(I),W (T111) F (T111)  17:00-18:30,,,W,F,,,,,,,,,,,,,17:00 PM,17:00 PM,17:00 PM,18:30 PM,18:30 PM,18:30 PM,,,,,,,,,,,CHM691A
MOLECULAR MODELLING IN CHEMISTRY(CHM695),3-0-0-0(9),AMALENDU  CHANDRA     (I),WF 17:00-18:30,,,W,F,,,,,,,,,,,,,17:00 PM,17:00 PM,17:00 PM,18:30 PM,18:30 PM,18:30 PM,,,,,,,,,,,CHM695
MOLECULAR MODELLING IN CHEMISTRY(CHM695A),3-0-0-0(9),AMALENDU  CHANDRA     (I),W (FB434) F (FB434)  17:00-18:30,,,W,F,,,,,,,,,,,,,17:00 PM,17:00 PM,17:00 PM,18:30 PM,18:30 PM,18:30 PM,,,,,,,,,,,CHM695A
CHEMISTRY OF DRUG DESIGN AND METABOLISM(CHM698),3-0-0-0(9),SANDEEP  VERMA   (I),MTh 12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,CHM698
CHEMISTRY OF DRUG DESIGN AND METABOLISM(CHM698A),3-0-0-0(9),SANDEEP  VERMA   (I),M (FB426) Th (FB426)  12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,CHM698A
M. Sc. PROJECT(CHM699A),3-0-0-0(18),DUGCCHM (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHM699A
RESEARCH(CHM799),0-0-0-0(0),DPGCCHM (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHM799
GENERAL SEMINAR2(CHM800),0-0-0-0(0),DPGCCHM (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHM800
GENERAL SEMINAR(CHM800A),0-0-0-0(0),DPGCCHM (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHM800A
GRADUATE SEMINAR(CHM801),0-0-0-0(0),DPGCCHM (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHM801
GRADUATE SEMINAR(CHM801A),0-0-0-0(0),DPGCCHM (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHM801A
INORGANIC MOLECULES MATERIALS & MEDICINE(CSO203),3-1-0-0(11),"ASHIS KUMAR PATRA(I), JITENDRA   BERA(O)",MThF 09:00-10:00,W 09:00-10:00,,M,Th,,,,,,,9:00 AM,10:00 AM,W,,,,9:00 AM,9:00 AM,9:00 AM,10:00 AM,10:00 AM,10:00 AM,,,,,,,,,,,CSO203
INORGANIC MOLECULES  MATERIALS & MEDICINE(CSO203A),3-1-0-0(11),"ASHIS KUMAR PATRA(I), JITENDRA   BERA(O)",M (L02) Th (L02) F (L02)  09:00-10:00,W (L14) W (L10) W (L15) W (L11)  09:00-10:00,,M,Th,,,,,,,9:00 AM,10:00 AM,W,,,,9:00 AM,9:00 AM,9:00 AM,10:00 AM,10:00 AM,10:00 AM,,,,,,,,,,,CSO203A
ENGLISH LANGUAGE & COMMUNICATION (BASIC) (SCHEME)(ELC111),2-1-1-0(9),SUDHARSHANA N P(I),M (DJAB(205H)) M (EEM117) M (DJAB(206H)) M (DJAB(203H)) W (DJAB(206H)) W (DJAB(203H)) W (DJAB(205H)) W (EEM117) F (DJAB(205H)) F (EEM117) F (DJAB(206H)) F (DJAB(203H))  17:00-18:00,Th (DJAB(203H)) Th (DJAB(205H)) Th (EEM117) Th (DJAB(206H))  17:00-18:00,,M,M,M,,,,,,17:00 PM,18:00 PM,T,,,,17:00 PM,17:00 PM,17:00 PM,18:00 PM,18:00 PM,18:00 PM,,,,,,,,,,,BASIC
ENGLISH LANGUAGE & COMMUNICATION (INTERMEDIATE) (SCHEME)(ELC112),2-1-1-0(9),SUDHARSHANA N P(I),M (DJAB(206H)) M (DJAB(205H)) W (DJAB(205H)) W (DJAB(206H)) F (DJAB(206H)) F (DJAB(205H))  08:00-09:00,Th (DJAB(205H)) Th (DJAB(206H))  08:00-09:00,,M,M,W,,,,,,8:00 AM,9:00 AM,T,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,INTERMEDIATE
ENGLISH LANGUAGE & COMMUNICATION (ADVANCED) (SCHEME)(ELC113),2-1-1-0(9),SUDHARSHANA N P(I),M (DJAB(203H)) M (EEM117) W (DJAB(203H)) W (EEM117) F (DJAB(203H)) F (EEM117)  08:00-09:00,Th (EEM117) Th (DJAB(203H))  08:00-09:00,,M,M,W,,,,,,8:00 AM,9:00 AM,T,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,ADVANCED
MATHEMATICS FOR COMPUTER SCIENCE -I(CS201),3-0-0-0(9),MANINDRA  AGRAWAL   (I),M (RM101) W (RM101) F (RM101)  12:00-13:00,,,M,W,F,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:00 PM,13:00 PM,13:00 PM,,,,,,,,,,,CS201
TECHNICAL COMMUNICATION(CS300A),0-0-2-0(2),Preeti Malakar(I),T (RM101)  10:00-12:00,,,T,1,,,,,,,,,,,,,10:00 AM,10:00 AM,10:00 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CS300A
OPERATING SYSTEMS(CS330A),3-0-3-0(12),Debadatta Mishra(I),T (RM101) W (RM101) Th (RM101)  08:00-09:00,,,T,W,T,,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,CS330A
THEORY OF COMPUTATION(CS340A),3-0-0-0(9),SUNIL EASAW  SIMON (I),"M (RM101) F (RM101)  08:00-09:00 ,T (RM101)  09:00-10:00",,,M,F,,T,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,10:00 AM,10:00 AM,,,,,,,CS340A
ALGORITHMS -II(CS345A),3-0-0-0(9),SURENDER  BASWANA   (I),M (L16) W (L16) F (L16)  09:00-10:00,,,M,W,F,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:00 AM,10:00 AM,10:00 AM,,,,,,,,,,,CS345A
PRINCIPLES OF PROGRAMMING LANGAUGES(CS350A),3-0-0-0(9),AMEY  KARKARE   (I),W (KD102) F (KD102)  15:30-17:00,,,W,F,,,,,,,,,,,,,15:30 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,17:00 PM,,,,,,,,,,,CS350A
INTRODUCTION TO COMPUTER GRAPHICS(CS360A),3-0-0-0(9),Soumya Dutta(I),M (KD101) Th (KD101)  10:30-12:00,,,M,Th,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CS360A
UG PROJECT (UGP-I)(CS395A),0-0-0-0(4),DUGCCSE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UGP-I
UG PROJECT (UGP-II)(CS396A),0-0-0-0(9),DUGCCSE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UGP-II
COMPUTER ARCHITECTURE(CS422A),3-0-0-0(9),MAINAK  CHAUDHURI   (I),M (KD101) Th (KD101)  12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,CS422A
INTRODUCTION TO SOFTWARE ENGINEERING(CS455A),3-0-0-0(9),Sruti Ragavan(I),M (KD101) Th (KD101)  14:00-15:15,,,M,Th,,,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,,,,,,,,,,,CS455A
UNDER GRADUATE PROJECT-III(CS498A),0-0-0-0(9),DUGCCSE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS498A
UNDER GRADUATE PROJECT-IV(CS499A),0-0-0-0(9),DUGCCSE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS499A
DESIGN AND ANALYSIS OF ALGORITHMS(CS602),3-0-0-0(9),SANJEEV  SAXENA   (I),WF 09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,CS602
DESIGN AND ANALYSIS OF ALGORITHMS(CS602A),3-0-0-0(9),SANJEEV  SAXENA   (I),W (RM101) F (RM101)  09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,CS602A
PROGRAMMING FOR PERFORMANCE(CS610),3-0-0-0(9),Swarnendu  Biswas(I),WF 10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CS610
PROGRAMMING FOR PERFORMANCE(CS610A),3-0-0-0(9),Swarnendu  Biswas(I),W (KD102) F (KD102)  10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CS610A
HUMAN CENTERED COMPUTING(CS616),3-0-0-0(9),Nisheeth  Srivastava   (I),MTh 09:00-10:15,,,M,Th,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,CS616
HUMAN CENTERED COMPUTING(CS616A),3-0-0-0(9),Nisheeth  Srivastava   (I),M (KD101) Th (KD101)  09:00-10:15,,,M,Th,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,CS616A
COMPUTER SYSTEMS SECURITY(CS628),3-0-0-0(9),Angshuman Karmakar(I),MTh 14:00-15:15,,,M,Th,,,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,,,,,,,,,,,CS628
COMPUTER SYSTEMS SECURITY(CS628A),3-0-0-0(9),Angshuman Karmakar(I),M (KD103) Th (KD103)  14:00-15:15,,,M,Th,,,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,,,,,,,,,,,CS628A
EMBEDDED AND CYBER-PHYSICAL SYSTEMS(CS637),3-0-0-0(9),INDRANIL  SAHA (I),MTh 12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,CS637
EMBEDDED AND CYBER-PHYSICAL SYSTEMS(CS637A),3-0-0-0(9),INDRANIL  SAHA (I),M (L07) Th (L07)  12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,CS637A
PROGRAM ANALYSIS  VERIFICATION AND TESTING(CS639),3-0-0-0(9),SUBHAJIT  ROY (I),MTh 10:30-12:00,,,M,Th,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CS639
PROGRAM ANALYSIS  VERIFICATION AND TESTING(CS639A),3-0-0-0(9),SUBHAJIT  ROY (I),M (KD102) Th (KD102)  10:30-12:00,,,M,Th,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CS639A
TOPICS IN LINEAR PROGRAMMING(CS655),3-0-0-0(9),RAJAT  MITTAL (I),"T 14:00-15:15 ,M 15:30-17:00",,,T,1,,M,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,,,,,,,CS655
TOPICS IN LINEAR PROGRAMMING(CS655A),3-0-0-0(9),RAJAT  MITTAL (I),"T (KD102)  14:00-15:15 ,M (KD102)  15:30-17:00",,,T,1,,M,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,,,,,,,CS655A
HARDWARE SECURITY OF INTERNET OF THINGS(CS666),3-0-0-0(9),Urbi Chatterjee(I),"W 12:00-13:00 ,F 14:00-15:00 ,T 17:00-18:00",,,W,1,,F,,17:00 PM,18:00 PM,T,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:00 PM,13:00 PM,13:00 PM,14:00 PM,14:00 PM,15:00 PM,15:00 PM,,,,,,,CS666
HARDWARE SECURITY OF INTERNET OF THINGS(CS666A),3-0-0-0(9),Urbi Chatterjee(I),"W (KD102)  12:00-13:00 ,F (KD102)  14:00-15:00 ,T (KD102)  17:00-18:00",,,W,1,,F,,17:00 PM,18:00 PM,T,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:00 PM,13:00 PM,13:00 PM,14:00 PM,14:00 PM,15:00 PM,15:00 PM,,,,,,,CS666A
COMPUTATIONAL GENOMICS(CS690),3-0-0-0(9),Hamim  Zafar(I),WF 10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CS690
COMPUTATIONAL GENOMICS(CS690A),3-0-0-0(9),Hamim  Zafar(I),W (RM101) F (RM101)  10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,CS690A
SPECIAL TOPICS IN COMPUTER SCIENCE(CS697),0-0-0-0(9),DPGCCSE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS697
SPECIAL TOPICS IN COMPUTER SCIENCE(CS697A),0-0-0-0(9),DPGCCSE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS697A
M TECH THESIS(CS699),0-0-0-0(0),"DPGCCSE (I), DUGCCSE (O)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS699
SENSING COMMUNICATIONS AND NETWORKING FOR SMART WIRELESS DEVICES(CS724),3-0-0-0(9),Amitangshu Pal(I),MTh 09:00-10:15,,,M,Th,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,CS724
SENSING  COMMUNICATIONS AND NETWORKING FOR SMART WIRELESS DEVICES(CS724A),3-0-0-0(9),Amitangshu Pal(I),M (KD102) Th (KD102)  09:00-10:15,,,M,Th,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,CS724A
PSEUDO-RANDOM GENERATORS(CS744),3-0-0-0(9),SATYADEV  NANDAKUMAR   (I),"TF 12:00-13:00 ,W 14:00-15:00",,,T,F,,W,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:00 PM,13:00 PM,13:00 PM,14:00 PM,14:00 PM,15:00 PM,15:00 PM,,,,,,,CS744
PSEUDO-RANDOM GENERATORS(CS744A),3-0-0-0(9),SATYADEV  NANDAKUMAR   (I),"T (KD102) F (KD102)  12:00-13:00 ,W (KD102)  14:00-15:00",,,T,F,,W,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:00 PM,13:00 PM,13:00 PM,14:00 PM,14:00 PM,15:00 PM,15:00 PM,,,,,,,CS744A
RANDOMIZED METHODS IN COMPUTATIONAL COMPLEXITY(CS747),3-0-0-0(9),NITIN  SAXENA (I),MTh 14:00-15:15,,,M,Th,,,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,,,,,,,,,,,CS747
RANDOMIZED METHODS IN COMPUTATIONAL COMPLEXITY(CS747A),3-0-0-0(9),NITIN  SAXENA (I),MTh 14:00-15:15,,,M,Th,,,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,,,,,,,,,,,CS747A
MACHINE LEARNING TECHNIQUES(CS771),3-0-0-0(9),PIYUSH  RAI (I),MTh 18:00-19:15,,,M,Th,,,,,,,,,,,,,18:00 PM,18:00 PM,18:00 PM,19:15 PM,19:15 PM,19:15 PM,,,,,,,,,,,CS771
INTRODUCTION TO MACHINE LEARNING(CS771A),3-0-0-0(9),PIYUSH  RAI (I),M (L20) Th (L20)  18:00-19:15,,,M,Th,,,,,,,,,,,,,18:00 PM,18:00 PM,18:00 PM,19:15 PM,19:15 PM,19:15 PM,,,,,,,,,,,CS771A
TOPICS IN LEARNING THEORY(CS777),3-0-0-0(9),Sutanu Gayen(I),WF 15:35-16:50,,,W,F,,,,,,,,,,,,,15:35 PM,15:35 PM,15:35 PM,16:50 PM,16:50 PM,16:50 PM,,,,,,,,,,,CS777
TOPICS IN LEARNING THEORY(CS777A),3-0-0-0(9),Sutanu Gayen(I),WF 15:35-16:50,,,W,F,,,,,,,,,,,,,15:35 PM,15:35 PM,15:35 PM,16:50 PM,16:50 PM,16:50 PM,,,,,,,,,,,CS777A
STATISTICAL NATURAL LANGUAGE PROCESSING(CS779),3-0-0-0(9),Ashutosh Modi(I),WF 17:00-18:30,,,W,F,,,,,,,,,,,,,17:00 PM,17:00 PM,17:00 PM,18:30 PM,18:30 PM,18:30 PM,,,,,,,,,,,CS779
STATISTICAL NATURAL LANGUAGE PROCESSING(CS779A),3-0-0-0(9),Ashutosh Modi(I),W (KD102) F (KD102)  17:00-18:30,,,W,F,,,,,,,,,,,,,17:00 PM,17:00 PM,17:00 PM,18:30 PM,18:30 PM,18:30 PM,,,,,,,,,,,CS779A
SPECIAL TOPICS IN COMPUTER SCIENCE(CS797),0-0-0-0(9),DPGCCSE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS797
SPECIAL TOPICS IN COMPUTER SCIENCE(CS797A),3-0-0-0(9),DPGCCSE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS797A
POST QUANTUM CRYPTOGRAPHY(CS798C),3-0-0-0(9),Debapriya Roy(I),W (KD102) F (KD102)  09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,CS798C
INTRODUCTION TO PROBABILITY FOR COMPUTER SCIENCE(CS798F),3-0-0-0(9),SUMIT  GANGULY   (I),M (KD102) Th (KD102)  12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,CS798F
TOPICS IN LARGE DATA ANALYSIS AND VISUALIZATION(CS798I),3-0-0-0(9),"Preeti Malakar(I), Soumya Dutta(O)","T (KD101)  14:00-15:15 ,M (KD101)  15:30-17:00",,,T,1,,M,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,,,,,,,CS798I
INTRODUCTION TO LINEAR LOGIC AND ITS APPLICATION(CS798J),3-0-0-0(9),ANIL  SETH   (I),W (KD103) F (KD103)  15:30-17:00,,,W,F,,,,,,,,,,,,,15:30 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,17:00 PM,,,,,,,,,,,CS798J
PHD THESIS(CS799),0-0-0-0(0),DPGCCSE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS799
MS - RESEARCH THESIS(CS899),0-0-0-0(0),DPGCCSE (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS899
FUNDAMENTALS OF COMPUTING - I(ESC111M) /C,3-1-3-0(7),Priyanka Bagade(I),M (L20) Th (L20) F (L20)  12:00-13:00,W (T210) W (T203) W (T111) W (T107) W (T205) W (T110) W (T209) W (T109) W (T112) W (T206) W (T108) W (T204) W (T106) W (T101) W (T207) W (T208)  12:00-13:00,F 14:00-17:00,M,Th,,,,,,,12:00 PM,13:00 PM,W,F,1,None,12:00 PM,12:00 PM,12:00 PM,13:00 PM,13:00 PM,13:00 PM,,,,,5:00 PM,5:00 PM,5:00 PM,2:00 PM,2:00 PM,2:00 PM,ESC111M
FUNDAMENTALS OF COMPUTING - I(ESC111M) /D,3-1-3-0(7),Priyanka Bagade(I),MThF 12:00-13:00,W 12:00-13:00,,M,Th,,,,,,,12:00 PM,13:00 PM,W,,,,12:00 PM,12:00 PM,12:00 PM,13:00 PM,13:00 PM,13:00 PM,,,,,,,,,,,ESC111M
FUNDAMENTALS OF COMPUTING - II(ESC112M) /C,3-1-3-0(7),Priyanka Bagade(I),MThF 12:00-13:00,W 12:00-13:00,,M,Th,,,,,,,12:00 PM,13:00 PM,W,,,,12:00 PM,12:00 PM,12:00 PM,13:00 PM,13:00 PM,13:00 PM,,,,,,,,,,,ESC112M
