,Course Name/Group Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,start_time123,end_time123,day4,day5,start_time456,end_time456,start_time7,end_time7,day7,start_time8,end_time8,day8
705,MACHINING SCIENCE I(ME661),3-0-0-0(9),Sarvesh Mishra(I),"MF 08:00-09:00 ,T 09:00-10:00",,,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM,,,,,,
706,MACHINING SCIENCE I(ME661A),3-0-0-0(9),Sarvesh Mishra(I),"M (T210) F (T210)  08:00-09:00 ,T (T210)  09:00-10:00",,,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM,,,,,,
707,METAL FORMING(ME663),3-0-0-0(9),"Supratik Mukhopadhyay(I), Ushasi Roy(O)",MTh 09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
708,METAL FORMING(ME663A),3-0-0-0(9),"Supratik Mukhopadhyay(I), Ushasi Roy(O)",M (T109) Th (T109)  09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
709,ADDITIVE MANUFACTURING(ME670),3-0-0-0(9),ARVIND  KUMAR (I),MTh 10:30-12:00,,,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
710,ADDITIVE MANUFACTURING(ME670A),3-0-0-0(9),ARVIND  KUMAR (I),M (T203) Th (T203)  10:30-12:00,,,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
711,FLUID MECHANICS OF FLAPPING FOILS(ME674),3-0-0-0(9),SACHIN Y  SHINDE (I),WF 09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
712,FLUID MECHANICS OF FLAPPING FOILS(ME674A),3-0-0-0(9),SACHIN Y  SHINDE (I),W (T112) F (T112)  09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
713,MATHEMATICS FOR ENGINEERS(ME681),3-0-0-0(9),BHASKAR  DASGUPTA   (I),MWF 17:00-18:00,,,M,W,F,17:00 PM,18:00 PM,,,,,,,,,,
714,MATHEMATICS FOR ENGINEERS(ME681A),3-0-0-0(9),BHASKAR  DASGUPTA   (I),M (L07) W (L07) F (L07)  17:00-18:00,,,M,W,F,17:00 PM,18:00 PM,,,,,,,,,,
715,TECHNIQUES IN NON-DESTRUCTIVE EVALUATION(ME683),3-0-0-0(9),Chandraprakash Chindam(I),TWTh 08:00-09:00,,,T,W,T,8:00 AM,9:00 AM,,,,,,,,,,
716,TECHNIQUES IN NON-DESTRUCTIVE EVALUATION(ME683A),3-0-0-0(9),Chandraprakash Chindam(I),T (T211) W (T211) Th (T211)  08:00-09:00,,,T,W,T,8:00 AM,9:00 AM,,,,,,,,,,
717,APPLIED NUMERICAL METHODS(ME685),3-0-0-0(9),K  MURALIDHAR (I),"T 14:00-15:15 ,M 15:30-17:00",,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM,,,,,,
718,APPLIED NUMERICAL METHODS(ME685A),3-0-0-0(9),K  MURALIDHAR (I),"T (L15)  14:00-15:15 ,M (L15)  15:30-17:00",,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM,,,,,,
719,MACHINE LEARNING FOR ENGINEERS(ME698A),3-0-0-0(9),MALAY KUMAR  DAS   (I),M (L14) Th (L14)  09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
720,MECHANICS OF ELECTROMAGNETIC CONTINUA(ME698B),3-0-0-0(9),ISHAN  SHARMA   (I),M (T111) Th (T111)  09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
721,ELEMENTS OF SHELL THEORY(ME698C),3-0-0-0(9),ANURAG  GUPTA       (I),"T (T105)  14:00-15:15 ,M (T105)  15:30-17:00",,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM,,,,,,
722,M TECH THESIS(ME699),0-0-0-0(0),"DPGCME (I), DUGCME (O)",,,,,,,,,,,,,,,,,,
723,DESIGN FOR MANUFACTURE & ASSEMBLY(ME701),3-0-0-0(9),NIRAJ  SINHA (I),MTh 12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
724,DESIGN FOR MANUFACTURE & ASSEMBLY(ME701A),3-0-0-0(9),NIRAJ  SINHA (I),M (T105) Th (T105)  12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
725,MECHANICAL ENGINEERING POSTGRADUATE SEMINAR I(ME702),0-0-0-0(0),JISHNU  BHATTACHARYA (I),Th (T108)  17:00-18:00,,,T,h,,17:00 PM,18:00 PM,,,,,,,,,,
726,COMPOSITE MATERIALS(ME727),3-0-0-0(9),P  VENKITANARAYANAN     (I),"T 14:00-15:15 ,M 15:30-17:00",,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM,,,,,,
727,COMPOSITE MATERIALS(ME727A),3-0-0-0(9),P  VENKITANARAYANAN     (I),"T (T205)  14:00-15:15 ,M (T205)  15:30-17:00",,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM,,,,,,
728,BOILING & CONDENSATION(ME742),3-0-0-0(9),Umesh Madanan(I),TTh 15:30-17:00,,,T,Th,,15:30 PM,17:00 PM,,,,,,,,,,
729,BOILING AND CONDENSATION(ME742A),3-0-0-0(9),Umesh Madanan(I),T (T205) Th (T205)  15:30-17:00,,,T,Th,,15:30 PM,17:00 PM,,,,,,,,,,
730,MODELING AND TURBULENT COMBUSTION(ME745),3-0-0-0(9),SANTANU  DE (I),MTh 09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
