,Course Name/Group Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,start_time123,end_time123,day4,day5,start_time456,end_time456,start_time7,end_time7,day7,start_time8,end_time8,day8
38,APPLIED COMPRESSIBLE FLOWS(AE664A),3-0-0-0(9),Ajay  Singh(I),W (EEM117) F (EEM117)  09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
39,AEROSPACE STRUCTURAL ANALYSIS - I(AE670),3-0-0-0(9),P M  MOHITE   (I),WF 09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
40,AEROSPACE STRUCTURAL ANALYSIS - I(AE670A),3-0-0-0(9),P M  MOHITE   (I),W (NWTF Class room) F (NWTF Class room)  09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
41,DYNAMICS AND VIBRATION(AE688),3-0-0-0(9),Tanmay Mathur(I),WF 12:00-13:15,,,W,F,,12:00 PM,13:15 PM,,,,,,,,,,
42,DYNAMICS AND VIBRATION(AE688A),3-0-0-0(9),Tanmay Mathur(I),W (NWTF Class room) F (NWTF Class room)  12:00-13:15,,,W,F,,12:00 PM,13:15 PM,,,,,,,,,,
43,UNSTEADY COMBUSTOR DYNAMICS(AE695A),3-0-0-0(9),Pingala Admin Not Offered(I),,,,,,,,,,,,,,,,,,
44,M TECH THESIS(AE699),0-0-0-0(0),"DPGCAE (I), DUGCAE (O)",,,,,,,,,,,,,,,,,,
45,CONTINUUM MECHANICS(AE702),3-0-0-0(9),C S  UPADHYAY   (I),MTh 10:30-12:00,,,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
46,CONTINUUM MECHANICS(AE702A),3-0-0-0(9),C S  UPADHYAY   (I),M (Helicopter building) Th (Helicopter building)  10:30-12:00,,,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
47,COMPUTATIONAL METHODS(AE703),3-0-0-0(9),"ASHOKE  DE (I), Pradeep Moise(O)",MTh 09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
48,COMPUTATIONAL METHODS(AE703A),3-0-0-0(9),"ASHOKE  DE (I), Pradeep Moise(O)",M (Helicopter building) Th (Helicopter building)  09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
49,DEFORMATION AND FRACTURE(AE704),3-0-0-0(9),RAJESH  KITEY   (I),WF 10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
50,DEFORMATION AND FRACTURE(AE704A),3-0-0-0(9),RAJESH  KITEY   (I),WF 10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
51,MOLECULAR GAS DYNAMICS(AE747A),3-0-0-0(9),Not Offered (I),,,,,,,,,,,,,,,,,,
52,OPTIMAL SPACE FLIGHT CONTROL(AE777),3-0-0-0(9),ASHISH  TIWARI (I),MTh 12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
53,OPTIMAL SPACE FLIGHT CONTROL(AE777A),3-0-0-0(9),ASHISH  TIWARI (I),M (L02) Th (L02)  12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
54,PHD THESIS(AE799),0-0-0-0(0),DPGCAE (I),,,,,,,,,,,,,,,,,,
55,MS - RESEARCH THESIS(AE899),0-0-0-0(0),DPGCAE (I),,,,,,,,,,,,,,,,,,
56,MECHANICS OF SOLIDS(ESO202),3-1-0-1(11),"Pritam  Chakraborty   (I), Gopalakrishna M Kamath   (O)",M (L16) Th (L16) F (L16)  10:00-11:00,W (T208) W (T205) W (T206) W (T207) W (T210) W (T203) W (T204) W (T209)  10:00-11:00,,M,Th,,10:00 AM,11:00 AM,,,,,,,,10:00 AM,11:00 AM,W
57,ORGAN SYSTEM PHYSIOLOGY AND ANATOMY(BSE211),3-0-0-0(9),Sai Pydi(I),M (DJAB(205H)) W (DJAB(205H)) F (DJAB(205H))  12:00-13:00,,,M,W,F,12:00 PM,13:00 PM,,,,,,,,,,
58,BIOCHEMISTRY(BSE221),3-0-0-0(9),Anusmita Sahoo(I),M (BSBE SR) W (BSBE SR) F (BSBE SR)  17:00-18:00,,,M,W,F,17:00 PM,18:00 PM,,,,,,,,,,
59,SCIENTIFIC & PROFESSIONAL COMMUNICATION(BSE301A),0-0-2-0(2),"Nitin  Mohan(I), Dibyendu Kumar Das  (O)",T (BSBE SR)  10:00-12:00,,,T,1,,10:00 AM,12:00 PM,,,,,,,,,,
60,MOLECULAR CELL BIOLOGY(BSE311A),3-0-0-0(9),AMITABHA  BANDYOPADHYAY     (I),"M (BSBE SR) F (BSBE SR)  08:00-09:00 ,T (BSBE SR)  09:00-10:00",,,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM,,,,,,
61,MOLECULAR BIOLOGY LAB(BSE312A),1-0-6-0(9),Suresh Kumar(I),Th (BSBE SR)  17:10-18:00,,WTh 14:00-17:00,T,h,,17:10 PM,18:00 PM,,,,,,,,,,
62,BIOMATERIALS(BSE411A),3-0-2-0(11),Santosh Misra(I),T (BSBE SR) W (BSBE SR) Th (BSBE SR)  08:00-09:00,,,T,W,Th,8:00 AM,9:00 AM,,,,,,,,,,
63,BIOMATERIAL  PHYSIOLOGY & BIO-MEMS LABORATORY(BSE412A),1-0-6-0(9),"Santosh Misra(I), Rakesh Majhi(O)",T (BSBE SR)  17:10-18:00,,MT 14:00-17:00,T,1,,17:10 PM,18:00 PM,,,,,,,,,,
64,METHODS IN BIOTECHNOLOGY-I  EXPERIMENTAL BIOSEPERATION(BSE492A),3-0-0-0(9),ASHOK  KUMAR (I),M (BSBE SR) Th (BSBE SR)  09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
65,PROFESSIONAL COMMUNICATION(BSE601),1-0-0-0(0),SUBRAMANIAM  GANESH   (I),F 08:00-09:00,,,F,0,,8:00 AM,9:00 AM,,,,,,,,,,
66,PROFESSIONAL COMMUNICATION(BSE601A),1-0-0-0(0),SUBRAMANIAM  GANESH   (I),F (L06)  08:00-09:00,,,F,0,,8:00 AM,9:00 AM,,,,,,,,,,
67,MODERN INSTRUMENTAL METHODS IN BIOLOGICAL SCIENCES(BSE611),3-0-0-0(3),"Nitin  Mohan(I), Dibyendu Kumar Das  (O)",MTh 12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
68,MODERN INSTRUMENTAL METHODS IN BIOLOGICAL SCIENCES(BSE611A),3-0-0-0(9),"Nitin  Mohan(I), Dibyendu Kumar Das  (O)",M (BSBE SR) Th (BSBE SR)  12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
69,BIOMATERIALS(BSE613),3-0-0-0(11),DHIRENDRA S KATTI(I),TWTh 08:00-09:00,,,T,W,Th,8:00 AM,9:00 AM,,,,,,,,,,
70,BIOMATERIALS(BSE613A),3-0-0-2(11),DHIRENDRA S KATTI(I),T (T201) W (T201) Th (T201)  08:00-09:00,,,T,W,Th,8:00 AM,9:00 AM,,,,,,,,,,
71,BIOCHEMISTRY STRUCTURAL BIOLOGY(BSE631),3-0-0-0(9),RAMASUBBU   SANKARARAMAKRISHNAN(I),WF 12:00-13:15,,,W,F,,12:00 PM,13:15 PM,,,,,,,,,,
72,BIOCHEMISTRY STRUCTURAL BIOLOGY(BSE631A),3-0-0-0(9),RAMASUBBU   SANKARARAMAKRISHNAN(I),W (BSBE SR) F (BSBE SR)  12:00-13:15,,,W,F,,12:00 PM,13:15 PM,,,,,,,,,,
73,MICROBIOLOGY AND IMMUNOLOGY(BSE642),3-0-0-0(9),SARAVANAN MATHESHWARAN(I),WF 17:00-18:30,,,W,F,,17:00 PM,18:30 PM,,,,,,,,,,
74,MICROBIOLOGY AND IMMUNOLOGY(BSE642A),3-0-0-0(9),SARAVANAN MATHESHWARAN(I),W (T212) F (T212)  17:10-18:15,,,W,F,,17:10 PM,18:15 PM,,,,,,,,,,
75,CELLULAR MOLECULAR BIOLOGY(BSE651),3-0-0-0(9),"JAYANDHARAN GIRIDHARA RAO(I), Robert Sonowal(O)",MTh 10:30-12:00,,,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
76,CELLULAR MOLECULAR BIOLOGY(BSE651A),3-0-0-0(9),"JAYANDHARAN GIRIDHARA RAO(I), Robert Sonowal(O)",M (BSBE SR) Th (BSBE SR)  10:35-11:50,,,M,Th,,10:35 AM,11:50 AM,,,,,,,,,,
77,PHYSIOLOGY(BSE655),3-0-0-0(9),"JONAKI  SEN (I), BUSHRA  ATEEQ (O)",MTh 14:00-15:15,,,M,Th,,14:00 PM,15:15 PM,,,,,,,,,,
78,PHYSIOLOGY(BSE655A),3-0-0-0(9),"JONAKI  SEN (I), BUSHRA  ATEEQ (O)",M (BSBE SR) Th (BSBE SR)  14:00-15:15,,,M,Th,,14:00 PM,15:15 PM,,,,,,,,,,
79,NEUROBIOLOGY(BSE656),3-0-0-0(9),NITIN GUPTA(I),WF 10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
80,NEUROBIOLOGY(BSE656A),3-0-0-0(9),NITIN GUPTA(I),W (L06) F (L06)  10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
81,STATISTICS FOR MODERN BIOLOGY(BSE658),3-0-0-0(9),Arjun  Ramakrishnan(I),"T 10:00-11:00 ,WF 15:00-16:00",,,T,1,,10:00 AM,11:00 AM,W,F,15:00 PM,16:00 PM,,,,,,
82,STATISTICS FOR MODERN BIOLOGY(BSE658A),3-0-0-0(9),Arjun  Ramakrishnan(I),"T (T111)  10:00-11:00 ,W (T111) F (T111)  15:00-16:00",,,T,1,,10:00 AM,11:00 AM,W,F,15:00 PM,16:00 PM,,,,,,
83,BIOLOGICAL MEMBRANES(BSE661),3-0-0-0(9),Appu Singh(I),WF 09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
84,BIOLOGICAL MEMBRANES(BSE661A),3-0-0-0(9),Appu Singh(I),W (BSBE SR) F (BSBE SR)  09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
85,M.TECH THESIS(BSE699),0-0-0-0(0),"DPGCBSBE (I), DUGCBSBE (O)",,,,,,,,,,,,,,,,,,
86,SEMINAR(BSE701),0-0-0-0(0),DPGCBSBE (I),,,,,,,,,,,,,,,,,,
87,SEMINAR(BSE701A),0-0-0-0(0),DPGCBSBE (I),,,,,,,,,,,,,,,,,,
88,SEMINAR(BSE702),0-0-0-0(0),DPGCBSBE (I),,,,,,,,,,,,,,,,,,
89,SEMINAR(BSE702A),0-0-0-0(0),DPGCBSBE (I),,,,,,,,,,,,,,,,,,
90,PHD THESIS(BSE799),0-0-0-0(0),DPGCBSBE (I),,,,,,,,,,,,,,,,,,
91,INTRODUCTION TO BIOLOGY(LIF111),2-0-0-0(6),"PRADIP  SINHA (I), ARUN KUMAR SHUKLA(O)",W (L20) F (L20)  11:00-12:00,,,W,F,,11:00 AM,12:00 PM,,,,,,,,,,
92,ENVIRONMENT AND SUSTAINABILITY(CE212),3-0-0-0(9),"ANUBHA  GOEL (I), Abhishek (O)",M (L17) W (L17) Th (L17)  08:00-09:00,,,M,W,Th,8:00 AM,9:00 AM,,,,,,,,,,
93,CIVIL ENGINEERING MATERIALS(CE243),2-0-2-0(8),"SYAM NAIR(I), SAMIT  RAY CHAUDHURI (O), Amar Nath Chowdhury(O)",M (L16) W (L16)  12:00-13:00,,TThF 14:00-17:00,M,W,,12:00 PM,13:00 PM,,,,,,,,,,
94,FLUID MECHANICS FOR CIVIL ENGINEERS(CE261),3-0-1-0(10),"Chunendra Sahu(I), RAJESH  SRIVASTAVA (O)",M (L18) W (L18) F (L18)  17:00-18:00,,TThF 14:00-17:00,M,W,F,17:00 PM,18:00 PM,,,,,,,,,,
95,ENVIRONMENTAL QUALITY AND POLLUTION(CE311A),3-0-3-0(12),"MUKESH  SHARMA (I), TARUN  GUPTA (O), VINOD  TARE (O)","M (L16) F (L16)  08:00-09:00 ,T (L16)  09:00-10:00",,MTWThF 14:00-17:00,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM,,,,,,
96,GEOINFORMATICS(CE331A),3-0-2-0(11),BHARAT  LOHANI     (I),T (L16) W (L16) Th (L16)  08:00-09:00,,MTTh 14:00-17:00,T,W,T,8:00 AM,9:00 AM,,,,,,,,,,
97,CIVIL ENGINEERING COMMUNICATION SKILLS(CE341),0-0-0-2(2),ARGHYA DAS(I),T (L16)  10:00-12:00,,,T,1,,10:00 AM,12:00 PM,,,,,,,,,,
98,SOIL MECHANICS(CE351A),2-0-2-0(8),Jagdish  Sahoo(I),W (L02) F (L02)  15:00-16:00,,MTTh 14:00-17:00,W,F,,15:00 PM,16:00 PM,,,,,,,,,,
99,ENGINEERING HYDROLOGY(CE361A),2-0-0-0(6),"Tushar Apurv(I), SAUMYEN  GUHA (O)",T (L02) Th (L02)  17:00-18:00,,,T,Th,,17:00 PM,18:00 PM,,,,,,,,,,
100,DESIGN OF STEEL STRUCTURES(CE371A),2-0-0-0(6),SUDIB KUMAR MISHRA(I),W (L01) F (L01)  14:00-15:00,,,W,F,,14:00 PM,15:00 PM,,,,,,,,,,
101,CONSTRUCTION MANAGEMENT(CE441B),3-0-0-0(5),SUPARNO MUKHOPADHYAY(I),WF 15:00-16:15,,,W,F,,15:00 PM,16:15 PM,,,,,,,,,,
102,APPLICATION OF GEOTECHNICAL ENGINEERING(CE451A),3-0-0-2(11),Bipin  Gupta(I),M (T210) Th (T210)  10:30-12:00,T (T211)  17:10-18:15,,M,Th,,10:30 AM,12:00 PM,,,,,,,,17:10 PM,18:15 PM,T
103,SPECIAL TOPICS IN STRUCTURAL DESIGN(CE471A),3-0-0-2(11),"Chinmoy Kolay(I), Amar Nath Chowdhury(O)","T (T208)  14:00-15:30 ,M (T208)  15:30-17:00",F (T208)  17:00-18:00,,T,1,,14:00 PM,15:30 PM,M,,15:30 PM,17:00 PM,,,,17:00 PM,18:00 PM,F
104,TRANSPORTATION FACILITIES DESIGN(CE481A),3-0-0-2(11),"Venkatesan  Kanagaraj(I), Prabin Ashish(O)",M (L12) Th (L12)  12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
105,MATHEMATICS FOR CIVIL ENGINEERS(CE603),2-0-0-0(5),Hemant Gehlot(I),M 09:00-10:15,,,M,0,,9:00 AM,10:15 AM,,,,,,,,,,
106,MATHEMATICS FOR CIVIL ENGINEERS(CE603A),2-0-0-0(5),Hemant Gehlot(I),M (L13)  09:00-10:15,,,M,0,,9:00 AM,10:15 AM,,,,,,,,,,
107,NUMERICAL METHODS FOR CIVIL ENGINEERS(CE604),2-0-0-0(5),SAMIT  RAY CHAUDHURI (I),TTh 15:30-17:00,,,T,Th,,15:30 PM,17:00 PM,,,,,,,,,,
108,NUMERICAL METHODS FOR CIVIL ENGINEERS(CE604A),2-0-0-0(5),SAMIT  RAY CHAUDHURI (I),Th (T104)  15:30-17:00,,,T,h,,15:30 PM,17:00 PM,,,,,,,,,,
109,PROBABILITY AND STATISTICS FOR CIVIL ENGINEERS(CE605),2-0-0-0(5),Balaji Devaraju(I),T 15:30-17:00,,,T,1,,15:30 PM,17:00 PM,,,,,,,,,,
110,PROBABILITY AND STATISTICS FOR CIVIL ENGINEERS(CE605A),2-0-0-0(5),Balaji Devaraju(I),T (T108)  15:30-17:00,,,T,1,,15:30 PM,17:00 PM,,,,,,,,,,
111,OPTIMIZATION METHODS FOR CIVIL ENGINEERS(CE606M),3-0-0-0(5),SUPARNO MUKHOPADHYAY(I),M (T109) Th (T109)  14:00-15:15,,,M,Th,,14:00 PM,15:15 PM,,,,,,,,,,
112,ADVANCED HYDROLOGY(CE610),3-0-0-0(9),"Tushar Apurv(I), SAUMYEN  GUHA (O)",WF 09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
113,ADVANCED HYDROLOGY(CE610A),3-0-0-0(9),"Tushar Apurv(I), SAUMYEN  GUHA (O)",W (T102) F (T102)  09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
114,ENGINEERING HYDRAULICS(CE611),3-0-0-0(9),"Chunendra Sahu(I), RAJESH  SRIVASTAVA (O)",WF 10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
115,ADVANCED HYDRAULICS(CE611A),3-0-0-0(9),"Chunendra Sahu(I), RAJESH  SRIVASTAVA (O)",W (T110) F (T110)  10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
116,VADOSE ZONE HYDROLOGY(CE618),3-0-0-0(9),RICHA  OJHA (I),MTh 12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
117,VADOSE ZONE HYDROLOGY(CE618A),3-0-0-0(9),RICHA  OJHA (I),M (T204) Th (T204)  12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
118,STRUCTURAL DYNAMICS(CE620),3-0-0-0(9),VINAY KUMAR  GUPTA (I),MTh 09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
119,STRUCTURAL DYNAMICS(CE620A),3-0-0-0(9),VINAY KUMAR  GUPTA (I),M (T204) Th (T204)  09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
120,ENGINEERING MECHANICS(CE621),3-0-0-4(9),DURGESH C  RAI (I),MTh 10:30-12:00,,,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
121,ENGINEERING MECHANICS(CE621A),3-0-0-0(9),DURGESH C  RAI (I),M (L08) Th (L08)  10:30-12:00,,,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
122,ROCK MECHANICS(CE630),3-0-0-0(9),Gaurav  Tiwari(I),MTh 09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
123,ROCK MECHANICS(CE630A),3-0-0-0(9),Gaurav  Tiwari(I),M (L15) Th (L15)  09:00-10:15,,,M,Th,,9:00 AM,10:15 AM,,,,,,,,,,
124,ADVANCED GEOTECHNICAL ENGINEERING(CE631),3-0-0-0(9),RAJESH SATHIYAMOORTHY(I),MTh 12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
125,ADVANCED GEOTECHNICAL ENGINEERING(CE631A),3-0-0-0(9),RAJESH SATHIYAMOORTHY(I),M (T210) Th (T210)  12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
126,GEOTECHNICAL MEASUREMENTS AND EXPLORATION(CE638),2-0-3-0(6),NIHAR RANJAN  PATRA (I),WF 09:00-10:15,,WF 14:00-16:50,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
127,GEOTECHNICAL MEASUREMENTS AND EXPLORATION(CE638A),2-0-3-0(9),NIHAR RANJAN  PATRA (I),W (T104) F (T104)  09:00-10:15,,WF 14:00-16:50,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
128,ADVANCEMENTS IN CONCRETE(CE653M),3-0-0-0(5),HARISH K V(I),M (T209) Th (T209)  12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
129,CONCRETE SCIENCE AND ENGINEERING PROPERTIES(CE654M),3-0-0-0(5),HARISH K V(I),M (T205) Th (T205)  12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
130,PHYSICO-CHEMICAL PRINCIPLES AND PROCESS(CE664),3-0-0-0(9),ABHAS SINGH(I),WF 10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
131,PHYSICO-CHEMICAL PRINCIPLES AND PROCESS(CE664A),3-0-0-0(9),ABHAS SINGH(I),W (T104) F (T104)  10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
132,ECOLOGICAL AND BIOLOGICAL PRINCIPLES AND PROCESS(CE665),3-0-0-0(9),PURNENDU  BOSE (I),WF 17:00-18:30,,,W,F,,17:00 PM,18:30 PM,,,,,,,,,,
133,ECOLOGICAL AND BIOLOGICAL PRINCIPLES AND PROCESS(CE665A),3-0-0-0(9),PURNENDU  BOSE (I),W (T107) F (T107)  17:00-18:30,,,W,F,,17:00 PM,18:30 PM,,,,,,,,,,
134,AIR POLLUTION AND ITS CONTROL(CE666),3-0-0-0(9),SACHCHIDANAND  TRIPATHI (I),"T 14:00-15:15 ,M 15:30-17:00",,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM,,,,,,
135,AIR POLLUTION AND ITS CONTROL(CE666A),3-0-0-0(9),SACHCHIDANAND  TRIPATHI (I),"T (L04)  14:00-15:15 ,M (L04)  15:30-17:00",,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM,,,,,,
136,INTRODUCTION TO REMOTE SENSING(CE671),3-0-2-0(11),Salil Goel(I),MTh 12:00-13:15,,F 14:00-16:00,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
137,INTRODUCTION TO REMOTE SENSING(CE671A),3-0-2-0(11),Salil Goel(I),M (WL237) Th (WL237)  12:00-13:15,,F 14:00-16:00,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
138,INTRODUCTION TO GEODESY(CE678),3-0-2-0(11),Balaji Devaraju(I),WF 10:30-12:00,,W 14:00-16:00,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
139,PHYSICAL GEODESY(CE678A),3-0-2-0(11),Balaji Devaraju(I),W (T111) F (T111)  10:30-12:00,,W 14:00-16:00,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
140,TRAFFIC ENGINEERING(CE683),3-0-0-0(9),PARTHA  CHAKROBORTY (I),TTh 15:30-17:00,,,T,Th,,15:30 PM,17:00 PM,,,,,,,,,,
141,TRAFFIC ENGINEERING(CE683A),3-0-0-0(9),PARTHA  CHAKROBORTY (I),T (L08) Th (L08)  15:30-17:00,,,T,Th,,15:30 PM,17:00 PM,,,,,,,,,,
142,M. TECH THESIS(CE699),0-0-0-0(0),"DPGCCE (I), DUGCCE (O)",,,,,,,,,,,,,,,,,,
143,UNSATURATED SOIL MECHANICS(CE732),3-0-0-0(9),Partha Narayan Mishra (I),WF 10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
144,UNSATURATED SOIL MECHANICS(CE732A),3-0-0-0(9),Partha Narayan Mishra (I),W (T101) F (T101)  10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
145,HYDROMETRY(CE738),2-0-3-0(9),SHIVAM TRIPATHI(I),MTh 10:30-12:00,,ThF 14:00-17:00,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
146,HYDROMETRY(CE738A),2-0-3-0(9),SHIVAM TRIPATHI(I),M (WL237) Th (WL237)  10:30-12:00,,ThF 14:00-17:00,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
147,ADJUSTMENT COMPUTATIONS FOR GEOINFORMATICS-I(CE770),2-0-1-0(6),ONKAR  DIKSHIT   (I),WF 12:00-13:15,,WF 16:00-17:00,W,F,,12:00 PM,13:15 PM,,,,,,,,,,
148,ADJUSTMENT COMPUTATIONS FOR GEOINFORMATICS-I(CE770A),2-0-1-0(6),ONKAR  DIKSHIT   (I),W (T105) F (T105)  12:00-13:15,,WF 16:00-17:00,W,F,,12:00 PM,13:15 PM,,,,,,,,,,
149,REFERENCE FRAMES  COORDINATE SYSTEMS AND MAP PROJECTIONS(CE772M),3-0-1-0(6),NAGARAJAN BALASUBRAMANIAN(I),M (WL228) Th (WL228)  10:30-12:00,,Th 14:00-16:50,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
150,GEODETIC ASTRONOMY AND INTRODUCTION TO SATELLITE GEODESY(CE773M),3-0-1-0(6),NAGARAJAN BALASUBRAMANIAN(I),MTh 10:30-12:00,,Th 14:00-14:50,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
151,ANALYSIS AND DESIGN OF BITUMINOUS PAVEMENTS(CE786),3-0-0-0(9),ANIMESH  DAS (I),WF 09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
152,ANALYSIS AND DESIGN OF BITUMINOUS PAVEMENTS(CE786A),3-0-0-0(9),ANIMESH  DAS (I),W (T111) F (T111)  09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
153,COMPUTATIONAL TOOLS FOR TRANSPORTATION ENGINEERING(CE787),3-0-0-0(9),"Pranamesh Chakraborty(I), Aditya Medury(O)","T 14:00-15:15 ,M 15:30-17:00",,F 14:00-16:50,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM,,,,,,
154,COMPUTATIONAL TOOLS FOR TRANSPORTATION ENGINEERING(CE787A),3-0-2-0(11),"Pranamesh Chakraborty(I), Aditya Medury(O)","T (T108)  14:00-15:15 ,M (T108)  15:30-17:00",,F 14:00-16:50,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM,,,,,,
155,LITERATURE SEARCH AND REVIEW(CE791A),0-0-0-0(5),DPGCCE (I),,,,,,,,,,,,,,,,,,
156,SCIENTIFIC WRITING SKILLS(CE792A),0-0-0-0(5),DPGCCE (I),,,,,,,,,,,,,,,,,,
157,SCIENTIFIC PRASENTATION SKILLS(CE793A),0-0-0-0(5),DPGCCE (I),,,,,,,,,,,,,,,,,,
158,SCIENTIFIC DATA ANALYSIS  PRESENTATION AND INTERPRETATION(CE794A),0-0-0-0(5),DPGCCE (I),,,,,,,,,,,,,,,,,,
159,PHD SEMINAR I(CE797A),0-0-0-0(0),DPGCCE (I),,,,,,,,,,,,,,,,,,
160,PHD SEMINAR II(CE798A),0-0-0-0(0),DPGCCE (I),,,,,,,,,,,,,,,,,,
161,PHD THESIS(CE799),0-0-0-0(0),DPGCCE (I),,,,,,,,,,,,,,,,,,
162,MS RESEARCH SEMINAR I(CE897A),0-0-0-0(0),DPGCCE (I),,,,,,,,,,,,,,,,,,
163,MS - RESEARCH THESIS(CE899),0-0-0-0(0),DPGCCE (I),,,,,,,,,,,,,,,,,,
164,COMPUTATIONAL METHODS IN ENGINEERING(ESO208),3-1-0-0(11),Gourabananda Pahar(I),MThF 11:00-12:00,W 11:00-12:00,,M,Th,,11:00 AM,12:00 PM,,,,,,,,11:00 AM,12:00 PM,W
165,COMPUTATIONAL METHODS IN ENGINEERING(ESO208A),3-1-0-0(11),Gourabananda Pahar(I),M (L07) Th (L07) F (L07)  11:00-12:00,W (T206) W (T203) W (T207) W (T204) W (T208) W (T210) W (T205) W (T211) W (T209)  11:00-12:00,,M,Th,,11:00 AM,12:00 PM,,,,,,,,11:00 AM,12:00 PM,W
166,APPLIED PROBABILITY AND STATISTICS(HSO201A),3-1-0-0(11),"JOYDEEP  DUTTA (I), Aditya Vikram(O)",MThF 11:00-12:00,W 11:00-12:00,,M,Th,,11:00 AM,12:00 PM,,,,,,,,11:00 AM,12:00 PM,W
167,ENGINEERING GRAPHICS(TA111) /A,2-0-3-0(9),SUDHIR MISRA(I),M (L18) W (L18)  15:00-16:00,,MTWThF 10:00-13:00,M,W,,15:00 PM,16:00 PM,,,,,,,,,,
168,ENGINEERING GRAPHICS(TA111) /B,2-0-3-0(9),PRISHATI  RAYCHOWDHURY   (I),M (L19) W (L19)  15:00-16:00,,MTWThF 10:00-13:00,M,W,,15:00 PM,16:00 PM,,,,,,,,,,
169,INTRODUCTION TO COGNITIVE SCIENCE(CGS401A),3-0-0-0(9),ARK VERMA(I),M (L07) Th (L07)  14:00-15:15,,,M,Th,,14:00 PM,15:15 PM,,,,,,,,,,
170,COMPUTATIONAL TOOLS FOR COGNITIVE SCIENCE(CGS600A),3-0-2-0(11),Pragathi Balasubramani(I),M (WL235) Th (WL235)  12:00-13:15,,,M,Th,,12:00 PM,13:15 PM,,,,,,,,,,
